"Respnum","Month","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_algore","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","nonbeliever_factor_open","nonbeliever_factor_open_coded","gw_noevidence","gw_scioverstate","gw_earthtoobig","gw_nattrend","gw_mediaoverstate","fftax_support_v1","gastax_support_v1","electrictax_support_v1","carbontax_revuse_v1","carbontax_revuseimpact","nuclear_support","worldviews_useconomy","worldviews_econimprove","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Weight"
1,3,23,4,"CALIFORNIA",4,2,,,,,,,,,,,,,,,"""MY LIFE""",1,3,4,4,1,1,3,2,4,1,1,2,4,1,1,2,,4,1,1,2,5,2,0.06
2,3,24,3,"NEW JERSEY",1,1,1,1,1,1,"THE WEATHER CHANGES AND WEATHER DISASTERS",3,1,1,1,1,4,1,2,1,,,4,4,4,4,4,1,2,3,3,1,4,3,1,2,4,,4,1,3,2,2,1,1.375
3,4,3,4,"NEW JERSEY",1,2,,,,,,,,,,,,,,,"CAN NOT SAY",9,2,4,3,2,98,2,2,98,1,1,2,3,1,1,2,,4,2,1,3,4,1,0.365
4,3,18,2,"NEW JERSEY",1,2,,,,,,,,,,,,,,,"THE NEWS",4,2,98,3,3,3,98,3,3,6,,3,4,2,2,7,,3,1,1,3,,2,1.41
5,4,1,3,"CONNECTICUT",1,1,1,1,2,1,"WARS",8,2,1,2,2,1,3,2,1,,,2,2,3,3,1,3,3,3,98,,1,3,3,1,2,,2,1,4,3,2,1,1.395
6,3,31,4,"COLORADO",4,1,2,98,3,2,"PERSONAL EXPERIENCE",2,1,3,3,3,4,3,4,2,,,1,2,3,2,2,4,4,4,1,3,2,4,3,1,2,,3,1,4,3,,1,0.695
7,3,28,3,"CONNECTICUT",1,2,,,,,,,,,,,,,,,"WEATHER CHANGES HAPPEN NATURALLY",2,2,2,2,1,1,4,4,3,3,1,4,4,3,1,6,,3,1,2,2,4,2,0.8
8,4,4,4,"CONNETICUT",1,2,,,,,,,,,,,,,,,"SEEMS TO BALANCE OUT",2,4,4,4,4,1,4,4,4,4,3,4,4,2,1,1,1,4,1,2,2,,2,0.07
9,3,29,5,"CONNECTICUT",1,1,1,1,1,1,"RESEARCH",4,1,4,1,2,4,4,1,2,,,4,4,4,4,4,1,1,1,1,1,98,4,3,1,1,2,4,1,2,3,,1,0.695
10,3,21,3,"CONNECTICUT",1,2,,,,,,,,,,,,,,,"THE WEATHER IS THE SAME",1,2,2,2,2,1,3,3,3,2,3,1,4,3,1,2,,3,1,2,3,,1,1.045
11,3,23,4,"CONNECTICUT",1,2,,,,,,,,,,,,,,,"NATURAL CYCLES",2,1,3,98,1,2,4,4,4,2,3,4,3,3,1,98,,4,1,4,3,4,2,0.09
12,3,24,4,"ALABAMA",2,1,2,3,1,1,"MELTING ICE CAPS AND HOTTER SUMMERS",1,1,1,2,1,3,2,1,2,,,4,3,3,3,3,4,4,4,3,3,2,4,2,2,1,2,1,2,1,1,1,1,1.905
13,3,28,3,"ALABAMA",2,98,,,,,,,,,,,,,,,,,1,1,3,1,1,4,4,4,2,1,1,4,2,1,4,,4,3,2,1,4,2,0.44
14,4,3,3,"ALABAMA",2,1,1,1,1,1,"SCIENCE",4,1,2,1,1,2,1,1,1,,,4,4,4,4,4,1,1,1,1,1,3,1,1,1,1,2,5,2,1,5,6,1,0.645
15,3,30,2,"WASHINGTON",4,1,1,1,1,1,"DATA",4,1,1,4,4,2,1,3,2,,,4,4,4,4,4,1,1,1,1,1,4,4,3,1,2,,5,5,1,5,6,2,0.38
16,3,25,3,"WASHINGTON",4,1,1,1,1,1,"WEATHER PATTERNS",3,1,2,1,1,4,2,1,3,,,4,4,4,4,4,1,1,1,1,3,4,3,1,1,6,,5,2,1,5,6,1,0.645
17,3,22,3,"WASHINGTON",4,1,2,98,2,2,"MY OWN EXPERIENCES",2,2,2,4,4,4,2,4,2,,,3,3,3,4,3,3,4,4,1,3,3,2,3,1,2,,4,5,4,4,6,2,0.44
18,3,22,4,"MAINE",1,1,3,2,98,98,"ICEBERGS MELTING",1,1,1,3,98,4,2,4,3,,,4,4,2,98,98,1,3,3,1,98,2,2,98,1,1,1,2,2,4,3,2,2,0.76
19,4,1,4,"MAINE",1,1,1,2,2,2,"WHAT I HEARD",6,2,2,4,4,4,4,3,2,,,3,3,2,3,2,3,3,3,6,,3,4,1,1,1,2,3,1,2,2,,2,0.42
20,4,5,2,"MAINE",1,1,2,3,2,2,"POLAR ICE CAPS AND STORMS",1,1,4,3,1,4,4,1,3,,,4,4,4,3,4,2,4,4,4,1,4,3,3,1,1,2,4,5,1,4,4,1,1.525
21,3,23,4,"MAINE",1,2,,,,,,,,,,,,,,,"NO CHANGE AT ALL",1,2,2,2,2,2,3,3,3,6,,2,4,2,1,1,1,4,1,2,2,,1,0.345
22,3,21,2,"MAINE",1,1,1,1,1,1,"SCIENTIFIC DATA",4,1,3,1,2,1,4,4,2,,,4,4,4,4,4,2,2,2,1,1,1,3,1,1,7,,5,5,1,5,4,1,0.665
23,3,21,4,"IDAHO",4,1,2,3,2,98,"SEVERE WEATHER PATTERNS",3,2,2,2,2,4,3,2,2,,,4,3,4,3,3,2,3,2,1,3,2,4,2,1,1,1,2,1,2,2,2,1,1.035
24,3,23,3,"IDAHO",4,2,,,,,,,,,,,,,,,"SAME TEMPERATURES AS ALWAYS",1,3,2,2,2,2,4,4,4,1,98,2,4,2,1,1,2,2,2,2,1,2,1,1.385
25,3,25,4,"IDAHO",4,98,,,,,,,,,,,,,,,,,2,4,4,4,4,4,4,4,4,3,4,4,2,,,,,2,,,,2,0.55
26,3,20,4,"IDAHO",4,2,,,,,,,,,,,,,,,"PATTERNS",2,1,1,1,1,1,4,4,4,2,3,2,4,1,1,1,2,5,1,4,2,,2,0.01
27,4,3,3,"CALIFORNIA",4,1,2,1,1,1,"THE SNOW CAPS ARE MELTING",1,1,2,98,2,2,3,1,1,,,4,4,4,3,3,1,2,2,1,1,3,4,2,1,2,,4,2,2,2,5,2,0.41
28,3,25,3,"CALIFORNIA",4,1,1,1,1,1,"MELTING ICE",1,1,4,2,2,2,4,4,4,,,3,3,3,3,3,3,3,3,1,3,2,4,1,5,,,2,1,4,2,4,1,1.905
29,3,30,3,"TEXAS",2,1,2,3,2,1,"CRAZY WEATHER AND RISING TEMPATURES",3,2,1,2,1,4,4,2,1,,,3,3,3,3,3,4,4,4,1,3,2,3,3,9,2,,2,2,1,1,2,1,2.925
30,4,4,4,"TEXAS",2,2,,,,,,,,,,,,,,,"LOOKING BACK OVER THE YEARS THINGS GO IN CYCLES",2,2,2,3,2,2,4,4,4,6,,2,4,2,1,2,,2,1,2,1,,2,0.72
31,3,28,4,"TEXAS",2,98,,,,,,,,,,,,,,,,,1,98,3,1,1,4,4,4,1,1,1,4,3,1,,,2,1,3,,3,1,1.555
32,3,29,5,"NEW YORK",1,1,1,2,1,2,"PATTERNS OF AIR FLOW",10,1,2,1,2,1,3,1,3,,,4,4,4,4,4,4,4,4,1,2,1,4,2,1,1,2,1,1,4,3,6,2,1.04
33,3,27,4,"NEW YORK",1,1,2,1,1,2,"SHIFTING PLATES IN CALIFORNIA",10,1,2,1,2,1,2,1,2,,,4,4,3,3,3,98,4,4,1,3,4,3,1,2,1,1,5,1,1,1,4,2,0.66
34,3,22,3,"NEW YORK",1,98,,,,,,,,,,,,,,,,,4,2,1,1,2,4,4,4,1,3,4,3,3,2,1,2,3,1,3,3,,2,1.4
35,3,25,4,"PENNSYLVANIA",1,1,3,2,2,98,"SEASON MIXED UP",3,1,3,2,2,3,2,2,2,,,2,2,3,1,2,4,4,4,1,1,4,4,2,1,1,2,2,1,2,2,1,2,0.75
36,3,20,3,"PENNSLVANIA",1,98,,,,,,,,,,,,,,,,,3,2,3,2,2,2,4,4,4,3,98,3,3,1,2,,2,4,4,2,,1,1.345
37,3,22,3,"PENNSYLVANIA",1,1,1,1,1,1,"POLLUTION",8,1,1,1,1,2,1,2,1,,,3,3,4,4,3,4,4,4,4,3,4,4,2,2,1,2,2,98,,,1,2,1.73
38,3,21,3,"PENNSYLVANIA",1,1,2,1,2,1,"READING",6,2,2,2,1,2,4,4,2,,,3,4,4,3,4,3,2,3,1,1,3,4,3,1,1,2,5,2,4,4,6,1,0.645
39,4,3,4,"PENNSYLVANIA",1,1,1,3,1,1,"JUST LOOK AT ALL THE BAD WEATHER",3,1,1,4,1,4,3,1,4,,,4,4,4,3,4,4,4,4,1,3,4,3,3,1,1,1,2,1,1,4,2,2,0.76
40,3,29,3,"PENNSYLVANIA",1,1,1,3,1,1,"ITS GETTING HOTTER EVERY SUMMER AND SEASONS ARE SHRINKING NO MORE SPRING OR FALL",2,1,1,1,1,1,4,1,1,,,4,4,4,3,3,2,2,2,2,1,4,4,1,2,1,2,4,1,1,2,3,2,1.61
41,3,30,4,"PENNSYLVANIA",1,98,,,,,,,,,,,,,,,,,3,3,1,4,3,4,4,4,6,,4,3,2,1,2,,2,2,2,3,2,2,0.76
42,3,23,2,"PENNSYLVANIA",1,1,2,3,2,2,"NEWS REPORTS",6,2,3,1,3,4,4,2,3,,,4,4,3,3,2,4,4,4,1,3,4,4,3,1,2,,4,1,2,1,4,1,0.725
43,3,25,4,"OHIO",3,1,2,98,1,1,"CLIMATE CHANGES",2,2,2,98,98,2,2,98,2,,,4,3,98,3,3,98,98,98,1,3,98,3,1,,,,5,5,,5,3,1,0.975
44,3,18,3,"ILLINOIS",3,1,2,2,2,98,"WEATHER CHANGES",3,2,4,4,2,4,2,2,2,,,2,2,2,2,2,2,3,3,3,2,2,4,2,1,2,,5,1,1,3,4,1,0.665
45,3,24,4,"ILLINOIS",3,2,,,,,,,,,,,,,,,"NORMAL CHANGES IN SEASONS",1,1,2,98,1,1,2,2,2,1,3,3,4,2,1,1,1,5,5,3,2,,1,0.285
46,3,21,3,"ILLINOIS",3,2,,,,,,,,,,,,,,,"COLD",1,1,1,2,1,1,2,4,4,6,,1,4,2,1,1,2,5,1,4,1,1,1,0.665
47,3,31,2,"MINNESOTA",3,98,,,,,,,,,,,,,,,,,1,4,4,1,1,4,4,4,1,1,4,4,3,1,6,,5,1,1,2,5,2,0.36
48,3,18,3,"MINNESOTA",3,1,1,2,4,2,"NATURAL CAUSES TAKING PLACE",9,2,4,4,4,4,4,2,2,,,1,1,1,1,1,4,4,4,2,3,2,4,2,1,1,1,5,2,,,,2,0.37
49,3,23,3,"MINNESOTA",3,2,,,,,,,,,,,,,,,"CYCLES",2,1,98,98,1,1,4,4,4,6,,4,4,2,10,1,1,4,1,4,3,1,2,0.63
50,4,1,2,"MINNESOTA",3,2,,,,,,,,,,,,,,,"WINTERS GETTING COLDER",1,2,2,3,2,2,3,3,3,6,,4,2,1,1,98,,3,1,3,2,3,1,1.615
51,3,22,2,"MINNESOTA",3,98,,,,,,,,,,,,,,,,,2,3,3,4,2,4,4,4,1,3,1,3,3,1,1,1,3,2,2,2,3,2,2.14
52,3,30,2,"MINNESOTA",3,98,,,,,,,,,,,,,,,,,1,1,2,2,1,2,1,1,1,3,3,1,1,2,6,,2,1,1,5,1,1,2.015
53,3,28,2,"INDIANA",3,1,2,3,3,1,"MELTING",1,1,2,2,98,3,2,2,1,,,3,3,3,2,4,4,4,4,6,,2,4,3,1,2,,2,1,4,1,2,1,1.395
54,3,21,4,"INDIANA",3,1,1,2,2,1,"BAD WINTERS  AND POLAR MELTING",3,1,3,98,1,4,4,1,3,,,4,3,3,2,4,2,4,4,6,,4,4,1,2,1,2,2,1,1,4,1,2,1.38
55,3,30,5,"INDIANA",3,2,,,,,,,,,,,,,,,"WEATHER",1,1,2,2,2,1,4,4,4,2,3,2,4,3,1,1,2,4,5,2,3,2,2,0.08
56,3,28,3,"LOUISIANA",2,1,1,1,1,1,"HURRICANES ARE INCREASING IN AREA THEY COVER",3,1,1,4,1,1,1,2,1,,,4,2,4,4,2,4,4,4,1,3,1,2,1,2,1,2,3,5,1,3,2,1,1.715
57,3,22,3,"GEORGIA",2,2,,,,,,,,,,,,,,,"WEATHER PATTERNS",2,1,1,98,1,1,4,4,4,6,,1,4,2,1,1,1,3,1,4,2,6,1,1.055
58,3,21,3,"GEORGIA",2,98,,,,,,,,,,,,,,,,,3,3,3,3,2,3,3,3,1,2,3,4,3,1,6,,3,1,4,3,2,2,0.81
59,3,31,1,"MICHIGAN",3,98,,,,,,,,,,,,,,,,,2,2,3,1,1,4,4,4,2,3,4,2,1,1,1,2,3,1,2,3,3,2,2.14
60,4,4,2,"MICHIGAN",3,1,2,3,1,1,"GLACIERS MELTING",1,2,2,4,2,2,4,4,2,,,3,3,4,3,3,2,2,2,1,1,98,4,3,1,98,,5,4,4,3,5,1,0.635
61,3,22,3,"MICHIGAN",3,2,,,,,,,,,,,,,,,"CYCLES",2,1,1,4,98,98,1,1,98,98,,98,4,98,1,6,,3,6,98,98,6,1,1.055
62,3,21,4,"FLORIDA",2,98,,,,,,,,,,,,,,,,,1,2,3,1,1,1,3,2,1,3,1,3,1,1,1,2,4,1,2,2,6,2,0.08
63,3,30,3,"MICHIGAN",3,1,1,1,2,1,"OZONE",10,2,2,2,2,4,3,1,1,,,4,3,3,3,3,4,4,4,6,,4,4,2,1,6,,3,1,4,2,1,1,1.075
64,3,24,4,"MICHIGAN",3,1,1,3,1,98,"WEATHER",3,1,3,2,98,1,1,1,1,,,4,4,4,4,4,2,2,2,1,1,2,3,3,,,,4,5,,2,,2,0.2
65,4,1,4,"ALABAMA",2,1,2,3,2,2,"STATISTICAL REPORTS",4,2,2,2,4,4,4,1,1,,,4,1,98,1,1,4,4,4,1,3,98,4,3,1,1,1,4,1,4,2,2,2,0.11
66,3,28,3,"ALABAMA",2,2,,,,,,,,,,,,,,,"TEMPERATURES SEEM THE SAME TO ME",1,1,98,3,1,2,4,4,4,6,,4,4,2,1,2,,2,1,4,3,2,2,1.11
67,3,31,4,"NORTH CAROLINA",2,1,1,98,1,2,"YO CAN FEEL IT",2,2,2,4,2,2,3,2,3,,,4,3,3,1,98,2,4,4,5,1,98,4,3,10,6,,2,1,1,2,1,2,0.78
68,3,31,3,"NORTH CAROLINA",2,1,2,3,2,1,"TURNING AIR CONDITIONER ON EARLIER",2,2,2,98,2,98,2,2,3,,,4,4,4,1,4,4,4,4,2,3,98,4,2,1,1,1,4,5,1,2,,2,0.42
69,3,20,4,"WASHINGTON",4,1,2,3,1,1,"SHRINKING POLAR CAPS",1,1,1,2,4,2,4,1,1,,,4,3,4,3,2,3,3,3,1,1,4,3,1,1,1,2,5,2,4,4,,2,0.01
70,4,1,3,"ALABAMA",2,1,1,1,98,1,"WARMER TEMPERATURES",2,3,1,2,1,4,1,2,2,,,1,2,98,98,2,4,2,4,4,3,1,4,2,1,1,2,1,1,4,1,1,98,1.34
71,3,21,3,"ALABAMA",2,2,,,,,,,,,,,,,,,"NOT ENOUGH DATA",3,1,98,3,98,1,2,2,2,1,1,2,2,3,1,6,,5,5,4,2,6,1,0.645
72,4,4,3,"ALABAMA",2,1,1,98,1,2,"NOT SURE",10,2,1,1,4,4,98,4,4,,,4,4,3,3,2,3,4,4,5,2,3,98,2,1,1,2,2,1,1,4,1,2,1.11
73,3,25,4,"ALABAMA",2,2,,,,,,,,,,,,,,,"CYCLE",2,1,98,1,1,1,4,4,4,2,98,1,4,2,1,1,1,4,1,2,1,,2,0.07
74,3,21,4,"ALABAMA",2,1,1,98,1,1,"GLACIERS MELTING",1,1,1,98,1,4,1,1,1,,,3,2,98,4,4,1,3,3,1,1,4,4,2,1,2,,3,1,2,1,,2,0.42
75,3,22,1,"INDIANA",3,98,,,,,,,,,,,,,,,,,2,3,4,4,1,4,4,4,6,,4,4,1,1,1,2,3,1,3,2,1,1,1.885
76,3,18,3,"WISCONSIN",3,1,2,1,1,1,"DATA",4,2,2,1,2,2,2,2,2,,,3,3,4,4,4,2,2,2,1,1,2,2,3,1,98,,5,1,2,2,4,2,0.38
77,3,22,1,"MICHIGAN",3,1,2,1,1,1,"SEE THE WEATHER CHANGING",3,1,3,1,98,1,2,1,2,,,4,3,98,3,3,98,2,3,1,98,3,3,3,1,1,1,1,1,1,4,1,2,2.16
78,3,22,3,"MICHIGAN",3,1,2,3,2,2,"POLAR BEARS DISAPPEARING",7,2,3,3,1,3,3,1,2,,,3,3,3,4,4,2,2,2,1,1,1,4,1,1,1,2,4,1,1,5,4,1,0.715
79,4,5,3,"MICHIGAN",3,2,,,,,,,,,,,,,,,"THE LORD",6,2,2,2,2,2,3,3,3,3,3,2,4,2,1,1,1,2,1,4,4,1,2,1.1
80,4,3,2,"MICHIGAN",3,98,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,6,,98,4,2,1,6,,2,1,1,1,2,2,1.12
81,3,30,4,"KENTUCKY",2,1,1,1,2,1,"CHANGES IN WEATHER",3,1,1,2,2,98,1,1,1,,,3,3,3,3,3,3,4,3,6,,98,4,3,1,1,2,3,1,2,3,,2,0.42
82,3,29,4,"KENTUCKY",2,2,,,,,,,,,,,,,,,"LISTENING TO DEBATES",4,1,1,1,1,1,4,4,4,1,3,98,4,3,1,1,1,4,2,1,1,,1,0.345
83,4,4,3,"KENTUCKY",2,2,,,,,,,,,,,,,,,"NATURAL CYCLE OF THE EARTH",2,1,1,2,1,2,4,4,4,2,3,4,4,1,1,1,1,2,1,2,1,3,1,1.905
84,4,4,4,"VIRGINIA",2,1,2,1,2,1,"CHANGING WEATHER PATTERNS",3,4,2,98,1,98,2,98,2,,,98,2,2,1,2,4,4,4,6,,4,3,1,2,6,,1,1,1,4,1,2,1.63
85,4,4,5,"TEXAS",2,98,,,,,,,,,,,,,,,,,4,1,3,2,1,4,4,4,2,3,3,4,3,1,1,2,4,6,2,2,,1,0.695
86,3,22,4,"TEXAS",2,2,,,,,,,,,,,,,,,"WHERE I LIVE IT IS ALWAYS WARM",1,1,3,3,1,2,4,4,4,6,,4,3,3,1,2,,2,1,2,1,4,2,0.74
87,3,22,3,"MARYLAND",2,2,,,,,,,,,,,,,,,"DO NOT KNOW",9,1,2,3,3,1,4,4,4,6,,4,4,2,10,6,,4,3,2,1,6,2,0.61
88,4,5,3,"MARYLAND",2,1,1,3,1,1,"NEWS",6,1,1,1,1,98,2,98,1,,,4,4,4,4,4,1,1,1,1,1,1,3,1,1,1,2,3,2,1,5,,2,0.77
89,3,23,3,"MARYLAND",2,2,,,,,,,,,,,,,,,"ICE STORMS",1,1,4,4,2,1,3,3,3,6,,2,4,2,1,3,,4,4,4,3,,2,0.42
90,3,25,4,"MARYLAND",2,1,1,2,3,2,"GLACIERS MELTING",1,1,4,4,4,1,4,4,4,,,1,1,3,2,3,4,4,4,1,1,2,4,2,1,1,1,3,1,2,1,,1,0.695
91,4,4,1,"MARYLAND",2,2,,,,,,,,,,,,,,,"COLDER WINTERS AND MILDER SUMMERS",1,2,2,1,1,2,4,4,4,1,3,1,3,3,1,2,,4,4,1,4,3,1,2.065
92,3,22,3,"MARYLAND",2,98,,,,,,,,,,,,,,,,,3,3,4,2,3,2,4,4,2,3,4,3,3,1,2,,4,5,2,1,3,2,0.98
93,3,31,3,"DELAWARE",2,2,,,,,,,,,,,,,,,"NATURAL CYCLE",2,2,3,2,1,1,4,3,3,1,2,2,4,3,1,1,1,4,5,2,2,5,2,0.42
94,3,28,4,"DELAWARE",2,1,1,1,1,1,"READING",6,1,2,1,2,2,2,1,2,,,4,3,4,3,3,2,2,3,1,1,2,3,3,1,2,,5,1,4,2,6,1,0.295
95,3,28,3,"DELAWARE",2,98,,,,,,,,,,,,,,,,,98,4,4,4,1,4,4,98,6,,1,4,3,1,2,,4,2,3,98,6,1,0.705
96,4,4,1,"DELAWARE",2,98,,,,,,,,,,,,,,,,,3,4,4,2,2,4,4,4,6,,4,4,2,1,6,,3,1,4,4,2,2,1.62
97,3,25,4,"DELAWARE",2,2,,,,,,,,,,,,,,,"NOT MAN MADE",2,2,1,1,1,1,4,4,4,6,,1,4,1,1,1,1,5,2,4,1,,1,0.285
98,3,27,3,"COLORADO",4,1,2,2,3,2,"WEATHER STATISTICS AND PATTERNS",4,2,2,2,2,4,2,2,2,,,2,98,98,1,1,4,4,4,2,2,1,4,3,1,2,,2,1,2,3,4,1,1.365
99,3,18,3,"COLORADO",4,1,1,1,1,1,"CHANGE IN WEATER",3,1,1,2,2,2,2,2,2,,,4,4,4,4,4,2,2,3,1,3,2,3,3,9,6,,5,1,98,4,4,2,1.91
100,3,22,4,"COLORADO",4,2,,,,,,,,,,,,,,,"BELIEVES  IN NATURAL PATTERNS",2,2,1,2,1,2,4,4,4,1,3,1,3,2,1,1,2,4,4,4,1,5,2,0.06
101,3,24,4,"WEST VIRGINIA",2,2,,,,,,,,,,,,,,,"HISTORY OF THE EARTH",2,2,1,2,2,2,4,4,4,6,,1,4,3,1,1,1,5,1,2,1,6,1,0.295
102,3,30,4,"WEST VIRGINIA",2,1,2,3,2,2,"POLLUTION, DEPLETING OZONE LAYER",8,2,2,4,2,4,3,2,2,,,2,3,3,3,2,4,4,4,1,3,4,4,2,1,2,,3,1,1,2,3,1,1.255
103,4,5,2,"WEST VIRGINIA",2,1,1,1,1,1,"HOTTER SUMMERS AND COLDER WINTERS",2,1,2,3,2,2,3,1,2,,,4,4,4,4,4,1,1,1,1,1,1,4,3,1,2,,2,1,1,4,,1,2.155
104,3,18,4,"WEST VIRGINIA",2,2,,,,,,,,,,,,,,,"SCIENTIFIC DATA",5,1,2,1,1,2,4,4,4,2,3,4,4,2,1,1,1,2,1,1,4,2,2,0.76
105,4,1,3,"WEST VIRGINIA",2,2,,,,,,,,,,,,,,,"REAL COLD WINTERS",1,1,1,1,2,1,4,4,4,6,,4,4,2,1,1,1,2,1,2,1,,2,1.07
106,3,27,3,"WEST VIRGINIA",2,1,1,1,1,1,"WARMER SUMMERS",2,1,2,2,2,1,3,3,2,,,1,2,2,2,1,4,4,4,1,1,4,4,98,1,1,2,4,2,1,5,4,2,0.44
107,3,22,4,"WEST VIRGINIA",2,2,,,,,,,,,,,,,,,"EARTH CHANGES NORMALLY",2,1,1,4,1,1,4,4,4,6,,1,4,3,1,6,,2,1,4,1,1,2,0.75
108,3,31,4,"WEST VIRGINIA",2,1,1,1,1,1,"TOO MANY PEOPLE AND CHEMICALS",13,1,1,3,2,4,2,1,3,,,4,4,4,4,4,4,4,4,6,,2,4,2,1,2,,3,1,1,1,1,2,0.45
109,3,25,2,"WEST VIRGINIA",2,2,,,,,,,,,,,,,,,"WINTERS ARE COLDER THAN EVER",1,2,2,4,3,2,2,4,4,1,3,2,3,1,1,6,,2,1,98,98,4,1,2.175
110,3,29,3,"FLORIDA",2,1,1,3,1,1,"PEOPLE",8,1,1,1,1,98,2,1,1,,,4,4,4,3,4,3,4,4,6,,1,2,1,1,1,2,3,1,2,3,3,2,1.33
111,4,4,4,"FLORIDA",2,98,,,,,,,,,,,,,,,,,1,1,2,1,1,4,4,4,6,,1,4,3,1,1,1,2,1,2,1,,1,0.995
112,3,25,1,"FLORIDA",2,1,2,1,2,1,"NOT SURE",10,2,2,4,4,4,2,2,2,,,2,2,98,3,2,2,2,2,6,,98,2,98,5,6,,5,5,1,1,,2,1.7
113,3,30,4,"WYOMING",4,1,3,3,4,2,"NATURAL PATTERNS",9,3,4,4,2,1,4,1,4,,,4,2,2,1,1,3,4,1,6,,1,4,3,1,1,2,4,6,4,3,1,2,0.1
114,3,30,3,"NEBRASKA",3,2,,,,,,,,,,,,,,,"DO NOT BELIEVE IN IT",8,1,1,2,98,2,4,4,4,6,,4,3,3,1,2,,3,1,2,1,3,2,1.34
