"RespNumb","SAMPLE","VERSION","demog_age_list","demog_state","demog_state_region","weather_pastwinter","weather_snow","weather_pastsummer_v2","weather_today","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","weather_extremes","weather_gwimpact","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","DATE","TotalWeight"
1,"C","A",3,"NC",2,5,5,5,5,98,,,,,,,,,,,,,,,,,,,1,2,2,6,,3,1,1,4,2,2,"4/5/2016 5:09:46 P",1.4
2,"C","A",3,"NV",4,1,6,2,2,1,1,2,"MORE HOTTER OUT",2,4,98,98,4,1,4,2,2,,,,,,,1,1,2,2,,2,1,1,3,1,2,"4/5/2016 5:11:41 P",1.6
3,"C","A",2,"FL",2,5,6,5,5,98,,,,,,,,,,,,,,,,,,,98,98,98,6,,4,98,4,2,3,1,"4/5/2016 5:11:45 P",0.925
4,"C","A",3,"NV",4,3,1,5,5,2,,,,,,,,,,,,,1,"ALL CYCLICAL",2,2,1,1,3,4,1,2,,3,1,2,1,2,1,"4/5/2016 5:15:50 P",0.835
5,"C","A",1,"CO",4,5,1,1,5,1,2,1,"EXTERMINATION OF FORESTS AROUND THE WORLD",10,1,1,2,1,3,2,2,1,,,,,,,3,2,9,2,,3,5,4,4,2,1,"4/5/2016 5:23:30 P",2.205
6,"C","A",2,"MA",1,1,4,5,3,1,1,1,"CHEMICAL WASTE",8,2,1,2,1,1,2,2,1,,,,,,,1,1,10,2,,4,3,4,98,,1,"4/5/2016 5:24:47 P",0.925
7,"C","A",3,"IA",3,5,3,5,5,1,3,2,"A CYCLE THAT WERE IN",9,3,3,2,3,4,98,1,2,,,,,,,3,4,1,1,1,3,1,4,3,4,1,"4/5/2016 5:26:32 P",0.835
8,"C","A",3,"NC",2,5,5,5,5,2,,,,,,,,,,,,,1,"TEMPS GO THRU PHASES",2,4,4,4,3,4,1,1,2,2,5,2,1,4,1,"4/5/2016 5:26:59 P",0.935
9,"C","A",1,"TX",2,2,6,5,5,1,2,2,"DATA REPORTS",4,3,4,2,1,4,4,1,1,,,,,,,1,2,1,1,98,4,5,2,3,4,2,"4/5/2016 5:29:58 P",1.29
10,"C","A",4,"WA",4,1,4,1,1,1,1,1,"MAN  FOSSIL FUELS",8,1,1,1,1,3,1,1,1,,,,,,,1,1,1,6,,5,2,4,3,,1,"4/5/2016 5:45:19 P",0.135
11,"C","A",3,"PA",1,2,4,2,4,98,,,,,,,,,,,,,,,,,,,1,2,1,1,2,3,1,4,2,5,2,"4/5/2016 5:47:16 P",1.1
12,"C","A",2,"FL",2,5,6,5,3,2,,,,,,,,,,,,,2,"BECAUSE OF THE COLDER WINTERS",1,1,4,4,3,3,1,1,98,4,5,2,3,,1,"4/5/2016 5:49:48 P",0.925
13,"C","A",2,"GA",2,2,4,2,5,98,,,,,,,,,,,,,,,,,,,1,1,,1,2,3,1,1,4,,2,"4/5/2016 5:51:06 P",1.27
14,"C","A",2,"DC",2,5,1,5,4,2,,,,,,,,,,,,,2,"WHAT THE MEDIA PUTS OUT THERE FOR INFORMATION",4,2,4,4,3,2,5,6,,5,4,3,,6,1,"4/5/2016 5:51:39 P",1.115
15,"C","A",3,"FL",2,5,6,5,1,1,2,1,"THE GRASS IS GREENER EVEY YEAR",14,2,2,2,1,1,98,3,1,,,,,,,1,2,1,1,98,2,1,4,3,3,1,"4/5/2016 5:55:18 P",0.935
16,"C","A",1,"WA",4,2,6,5,2,1,1,1,"BECAUSE OF GREEN HOUSE GASES",8,1,3,2,1,2,2,1,1,,,,,,,1,1,1,6,,4,5,1,5,3,2,"4/5/2016 5:59:11 P",1.29
17,"C","A",2,"PA",1,1,2,2,3,1,1,3,"THING THAT HE READ",6,1,2,1,1,1,2,1,2,,,,,,,3,1,1,2,,4,5,1,3,5,1,"4/5/2016 5:59:30 P",0.875
18,"C","A",1,"FL",2,1,6,98,98,1,1,1,"GLACIER CLIMATE STUDIES",4,1,2,3,2,1,1,1,1,,,,,,,1,2,1,3,,4,5,1,98,,1,"4/5/2016 6:00:41 P",0.975
19,"C","A",4,"TN",2,98,2,5,5,1,1,1,"LISTENING TO EXPERTS",4,1,3,1,3,3,1,1,1,,,,,,,1,1,1,6,,5,4,1,4,4,1,"4/5/2016 6:11:10 P",0.135
20,"C","A",1,"GA",2,4,4,1,1,1,1,1,"WEATHER CHANGES",3,1,1,1,1,4,1,1,1,,,,,,,1,1,9,6,,2,5,1,3,2,1,"4/5/2016 6:13:52 P",2.305
21,"C","A",3,"MS",2,5,6,5,5,1,1,1,"FROM WHAT SHES READ AND HEARD",6,1,2,98,1,2,1,1,1,,,,,,,1,1,5,6,,5,5,1,4,5,2,"4/5/2016 6:16:18 P",1.25
22,"C","A",4,"WY",4,2,3,5,5,1,1,1,"NOT SURE",10,3,3,4,2,2,98,3,2,,,,,,,3,2,9,2,,3,2,1,98,1,2,"4/5/2016 6:17:04 P",2.15
23,"C","A",3,"OH",3,5,3,2,4,98,,,,,,,,,,,,,,,,,,,3,3,1,2,,2,1,2,98,4,1,"4/5/2016 6:19:24 P",0.935
24,"C","A",2,"MA",1,2,2,5,3,1,1,1,"FROM DOCUMENTARY I HAVE SEEN",6,1,2,3,3,2,4,2,2,,,,,,,1,1,1,3,,5,1,1,3,5,2,"4/5/2016 6:20:43 P",0.82
25,"C","A",3,"MN",3,5,2,5,3,1,2,3,"MORE RAIN",3,2,2,3,2,2,2,3,2,,,,,,,3,2,1,1,1,4,1,1,2,4,1,"4/5/2016 6:30:57 P",0.805
26,"C","A",4,"TX",2,2,6,1,5,98,,,,,,,,,,,,,,,,,,,3,98,1,1,1,5,1,2,2,3,2,"4/5/2016 6:37:28 P",0.45
27,"C","A",4,"OH",3,1,3,5,3,1,2,3,"GLAICERS ARE MELTING",1,1,3,2,2,3,98,1,1,,,,,,,1,1,1,1,2,4,5,1,2,,2,"4/5/2016 6:38:34 P",0.82
28,"C","A",1,"CT",1,2,4,5,4,1,1,1,"POLUTION",8,1,1,98,98,1,98,1,4,,,,,,,1,98,10,,,3,5,4,98,,2,"4/5/2016 6:42:24 P",1.2
29,"C","A",3,"WI",3,2,3,3,3,2,,,,,,,,,,,,,1,"PATERNS",2,3,2,4,1,4,1,1,98,3,1,4,3,6,1,"4/5/2016 6:43:37 P",0.845
30,"C","A",4,"GA",2,2,4,5,2,1,2,1,"BURNING OF FOSSIL FUELS",8,98,3,4,2,3,2,4,3,,,,,,,3,1,1,1,2,2,2,2,1,4,1,"4/5/2016 6:46:21 P",0.635
31,"C","A",2,"WI",3,5,3,2,3,98,,,,,,,,,,,,,,,,,,,3,98,1,1,1,5,1,98,98,4,1,"4/5/2016 6:47:19 P",0.555
32,"C","A",2,"FL",2,2,6,5,3,2,,,,,,,,,,,,,1,"TEMPERTURE, SATELLITE",5,2,1,1,3,3,1,,,4,1,,,6,1,"4/5/2016 6:48:50 P",0.935
33,"C","A",4,"GA",2,5,6,3,5,98,,,,,,,,,,,,,,,,,,,1,98,1,2,,4,1,2,2,2,1,"4/5/2016 6:49:03 P",0.505
34,"C","A",3,"IL",3,2,4,98,5,98,,,,,,,,,,,,,,,,,,,3,4,1,1,1,3,1,2,2,6,1,"4/5/2016 6:49:51 P",0.845
35,"C","A",3,"MN",3,2,4,5,3,98,,,,,,,,,,,,,,,,,,,1,98,1,1,1,3,1,4,2,1,2,"4/5/2016 6:51:50 P",1.25
36,"C","A",1,"KY",2,1,1,3,5,1,1,1,"SCIENCE",4,2,1,1,4,4,98,2,1,,,,,,,1,1,1,,,4,5,4,3,3,1,"4/5/2016 6:55:37 P",0.975
37,"C","B",3,"WI",3,2,2,1,3,1,1,3,"DATA",4,1,3,98,2,3,1,2,1,,,,,,,1,2,1,1,98,2,5,1,4,2,1,"4/5/2016 7:28:24 P",0.935
38,"C","B",3,"CO",4,2,5,5,2,1,2,1,"CHANGE IN TEMPS",2,2,2,2,1,4,4,2,1,,,,,,,1,1,1,1,2,5,5,4,1,3,1,"4/5/2016 7:28:31 P",0.435
39,"C","B",2,"CA",4,1,6,5,2,1,1,1,"NEWS",6,1,1,1,1,1,3,1,1,,,,,,,1,1,5,,,5,5,,,,1,"4/5/2016 7:30:45 P",1.105
40,"C","B",1,"TX",2,2,6,1,2,1,1,1,"CHANGE IN THE TEMPERATURE",2,1,1,2,1,1,2,1,1,,,,,,,1,1,5,4,,5,5,1,4,4,1,"4/5/2016 7:45:58 P",1.155
41,"C","B",1,"NV",4,3,1,1,2,1,1,1,"POPULATION",13,2,2,98,1,1,98,1,4,,,,,,,1,3,9,2,,3,5,4,4,6,1,"4/5/2016 7:46:16 P",2.215
42,"C","B",1,"IL",3,2,5,5,5,1,1,1,"SCIENCE",4,1,2,98,98,3,98,2,4,,,,,,,98,1,1,,,4,5,4,4,98,1,"4/5/2016 7:49:41 P",0.975
43,"C","B",3,"MA",1,2,2,1,2,1,1,1,"WINTER IS TOO WARM",2,1,1,2,1,1,1,1,1,,,,,,,1,1,1,2,,5,2,1,2,6,1,"4/5/2016 7:53:40 P",0.445
44,"C","B",3,"PA",1,2,3,2,3,1,1,3,"WEATHER",3,1,1,2,2,2,2,1,2,,,,,,,1,2,,,,4,5,,,,1,"4/5/2016 7:56:51 P",0.805
45,"C","B",1,"CA",4,5,6,1,2,1,1,3,"PROPER EDUCATION",10,2,1,1,3,4,2,1,4,,,,,,,1,1,2,5,,2,5,4,4,6,2,"4/5/2016 7:59:43 P",1.68
46,"C","B",1,"ID",4,2,2,2,5,1,1,1,"CERTAIN AMOUNT OF WARMING IS COMMON",2,2,3,98,3,3,3,2,2,,,,,,,3,2,1,1,2,3,5,3,3,4,1,"4/5/2016 8:00:40 P",1.005
47,"C","B",3,"OH",3,5,5,3,4,1,2,2,"DATA",4,4,4,4,4,4,4,4,4,,,,,,,3,4,1,6,,3,5,4,1,3,1,"4/5/2016 8:02:48 P",0.835
48,"C","A",2,"GA",2,5,6,2,5,2,,,,,,,,,,,,,1,"HISTORY",5,2,4,1,3,3,2,,,2,1,1,3,,1,"4/5/2016 8:11:59 P",1.305
49,"C","A",4,"CO",4,2,3,3,3,1,1,1,"YOU CAN SEE ALL OVER",2,1,1,1,1,2,1,1,1,,,,,,,1,1,1,6,,5,1,1,4,2,2,"4/5/2016 8:12:54 P",0.45
50,"C","A",1,"MI",3,2,4,2,2,1,2,1,"NONE",10,2,2,98,2,2,1,1,2,,,,,,,1,1,1,6,,3,5,4,3,1,2,"4/5/2016 8:18:58 P",1.42
51,"C","A",1,"FL",2,4,6,5,5,98,,,,,,,,,,,,,,,,,,,3,1,9,2,,4,1,4,2,5,2,"4/5/2016 8:23:00 P",2.44
52,"C","A",1,"GA",2,98,6,5,5,1,3,2,"EARTH IS TRYING TO REBALANCE ITSELF",10,1,2,4,2,2,1,1,1,,,,,,,3,2,1,6,,4,5,3,3,2,1,"4/5/2016 8:25:10 P",0.975
53,"C","A",1,"CA",4,5,6,1,5,1,2,3,"FOSSIL FUELS",8,1,2,4,2,1,1,3,2,,,,,,,3,1,2,6,,3,1,98,98,,1,"4/5/2016 8:28:03 P",1.255
54,"C","A",2,"FL",2,2,6,1,5,1,4,1,"SEE IT EVERYWHERE",2,1,1,3,1,4,1,1,1,,,,,,,1,1,9,2,,4,5,1,4,5,1,"4/5/2016 8:32:19 P",2.075
55,"C","A",3,"WA",4,5,1,5,5,2,,,,,,,,,,,,,98,"SCIENCE HAS BEEN DEBUNKED",5,4,2,2,1,98,1,1,2,5,5,4,3,,1,"4/5/2016 8:33:51 P",0.435
56,"C","A",1,"NY",1,1,4,5,5,1,1,1,"ICE MELTING",1,1,2,1,2,1,2,2,2,,,,,,,1,1,1,6,,5,5,4,98,6,2,"4/5/2016 8:37:12 P",0.93
57,"C","A",2,"TX",2,2,6,5,2,1,1,1,"MORE ERRATIC",3,1,3,2,3,3,2,2,2,,,,,,,1,1,1,1,2,4,5,1,4,6,2,"4/5/2016 8:37:15 P",1.25
58,"C","A",3,"CO",4,5,2,5,5,1,3,98,"GLACIERS MELTING",1,2,4,4,4,4,4,4,4,,,,,,,3,4,1,1,2,5,2,2,3,6,1,"4/5/2016 8:42:06 P",0.445
59,"C","A",1,"IL",3,2,4,5,4,1,1,1,"FROM  STUDIES",4,1,1,1,2,2,1,1,1,,,,,,,3,1,9,6,,3,5,4,4,5,2,"4/5/2016 8:42:32 P",2.47
60,"C","A",3,"FL",2,5,6,2,3,1,1,1,"SCIENTIST",4,1,2,3,4,3,2,2,2,,,,,,,1,1,,,,5,2,,,,1,"4/5/2016 8:43:48 P",0.435
61,"C","A",1,"CA",4,2,6,5,5,2,,,,,,,,,,,,,1,"NATURAL EARTHS PATTERNS",2,3,2,2,1,3,1,6,,3,5,4,4,98,1,"4/5/2016 8:43:58 P",1.005
62,"C","A",3,"DE",2,4,5,5,3,2,,,,,,,,,,,,,3,"FROM MY OBSEVENCE",1,2,3,2,1,1,2,1,2,2,1,1,5,2,1,"4/5/2016 8:46:33 P",1.185
63,"C","A",4,"WA",4,2,5,2,5,1,1,1,"TV",6,1,2,98,2,2,2,2,1,,,,,,,1,1,1,1,2,4,1,1,4,,2,"4/5/2016 8:50:57 P",0.82
64,"C","A",1,"NJ",1,2,4,5,4,1,1,3,"CLIMATE CHANGES AND MEDIA",3,1,3,98,3,2,4,1,2,,,,,,,3,2,1,3,,2,5,1,4,6,1,"4/5/2016 8:51:21 P",1.115
65,"C","A",2,"FL",2,1,6,1,5,1,1,1,"GREEN HOUSE GASES",8,1,1,1,1,2,98,2,2,,,,,,,1,1,10,1,98,2,5,,,2,1,"4/5/2016 8:51:55 P",1.055
66,"C","A",4,"WA",4,3,2,2,3,98,,,,,,,,,,,,,,,,,,,1,98,1,1,2,3,1,2,1,2,1,"4/5/2016 8:52:05 P",0.535
67,"C","A",2,"WA",4,5,4,4,3,1,1,3,"READING",6,1,1,,3,2,3,2,2,,,,,,,1,1,,,,4,5,,,,2,"4/5/2016 8:56:49 P",1.24
68,"C","A",3,"CA",4,2,6,3,1,1,1,3,"GLOBAL WARMING",2,2,2,3,3,2,98,1,4,,,,,,,1,2,5,1,2,4,1,3,1,,2,"4/6/2016 7:57:04 P",1.67
69,"C","A",1,"CA",4,2,3,2,3,1,1,1,"WEATHER CHANGES",3,1,2,1,1,2,3,2,2,,,,,,,1,1,9,2,,3,5,1,3,1,1,"4/6/2016 7:57:20 P",2.305
70,"C","A",3,"CA",4,4,4,2,4,1,1,1,"IGNORING PROGRAMS",10,1,1,1,1,3,1,1,1,,,,,,,1,1,10,6,,3,5,3,5,3,1,"4/6/2016 8:03:37 P",0.735
71,"C","A",3,"MD",2,4,1,5,3,98,,,,,,,,,,,,,,,,,,,1,1,1,6,,2,1,1,2,4,1,"4/6/2016 8:06:56 P",0.935
72,"C","A",4,"AZ",4,2,6,2,5,1,1,3,"CARBONS IN THE ATMOSPHERE",10,2,3,2,3,3,3,3,3,,,,,,,3,2,1,7,,4,5,4,2,3,1,"4/6/2016 8:25:43 P",0.505
73,"C","A",1,"IL",3,2,3,5,3,2,,,,,,,,,,,,,1,"STEADY RECENT WEATHER",1,98,98,4,3,2,1,2,,4,5,2,3,5,1,"4/6/2016 8:27:25 P",0.925
74,"C","A",3,"WI",3,2,3,3,3,1,1,98,"NO COMMENT",10,2,3,98,2,3,98,2,2,,,,,,,1,2,1,2,,2,1,2,2,3,2,"4/6/2016 8:30:37 P",1.25
75,"C","A",4,"CA",4,2,6,5,2,1,1,1,"HUMAN",8,1,1,1,4,2,1,1,1,,,,,,,1,1,,1,1,4,1,1,4,2,1,"4/6/2016 8:31:46 P",0.505
76,"C","A",4,"CA",4,2,6,5,3,1,2,1,"CONTAMINATION",8,2,3,2,1,4,1,1,1,,,,,,,1,2,9,6,,1,1,1,3,2,1,"4/6/2016 8:33:43 P",2.035
77,"C","A",3,"CT",1,5,4,1,5,1,1,3,"SUNS BEATING OFF THE OCEAN DEPLETES THE OZONE LAYER",10,1,1,2,2,3,2,1,1,,,,,,,1,1,1,6,,3,5,4,3,2,1,"4/6/2016 8:34:26 P",0.835
78,"C","A",2,"CT",1,2,4,5,4,1,1,3,"WEATHER",3,4,2,1,1,1,1,1,2,,,,,,,1,1,,,,3,5,,,6,1,"4/6/2016 8:36:59 P",0.965
79,"C","A",4,"FL",2,2,6,5,5,1,1,3,"ICE CAPS",1,1,3,3,1,3,3,2,2,,,,,,,1,2,1,1,2,5,98,4,3,4,1,"4/6/2016 8:38:11 P",0.135
80,"C","A",2,"CA",4,3,6,1,1,1,2,98,"DEFORESTRATION / POLAR ICE CAPS MELTING",10,1,2,1,1,1,1,1,2,,,,,,,1,1,10,6,,4,1,3,4,5,2,"4/6/2016 8:45:11 P",1.07
81,"C","A",3,"IL",3,5,3,4,4,2,,,,,,,,,,,,,1,"NORMAL CYCLE",2,1,2,4,3,4,1,1,98,3,5,3,1,,1,"4/6/2016 8:48:07 P",0.835
82,"C","A",4,"NY",1,5,4,3,5,1,2,3,"TV",6,4,4,4,1,4,1,3,2,,,,,,,3,1,,,,3,1,,,,2,"4/6/2016 8:48:28 P",0.85
83,"C","A",2,"FL",2,2,6,2,5,1,1,1,"POLLUTION",8,1,2,98,2,4,2,2,1,,,,,,,1,98,1,,,,1,,,,1,"4/6/2016 8:49:01 P",0.955
84,"C","A",2,"GA",2,2,6,2,2,1,1,1,"DISPLACED OZONE",10,1,1,98,1,1,98,1,2,,,,,,,1,1,2,6,,4,1,3,,3,1,"4/6/2016 8:49:25 P",1.175
85,"C","A",4,"IL",3,4,1,3,3,2,,,,,,,,,,,,,1,"SATELLITE DATA",5,1,1,1,1,4,2,1,1,5,6,4,2,6,1,"4/6/2016 8:55:57 P",0.395
86,"C","A",1,"CA",4,5,6,2,5,1,1,1,"WORK RELATED FACTORS",10,1,3,98,1,3,4,1,3,,,,,,,1,1,1,2,,4,5,1,4,,1,"4/6/2016 8:56:51 P",0.975
87,"C","A",3,"FL",2,5,6,5,5,1,2,2,"DON'T KNOW",10,2,2,2,1,2,2,1,1,,,,,,,1,2,2,2,,2,1,1,2,2,1,"4/6/2016 8:57:11 P",1.185
88,"C","A",4,"AZ",4,2,6,1,5,1,1,3,"POLAR ICE CAPS MELTING/ DEFORESTATION",1,1,1,1,1,1,98,1,1,,,,,,,1,1,1,1,1,2,5,1,98,2,2,"4/6/2016 8:58:08 P",0.95
89,"C","B",3,"UT",4,3,5,5,2,1,2,1,"NEWS REPORTS",6,1,3,1,4,4,1,2,4,,,,,,,3,2,1,1,2,5,5,1,3,6,1,"4/11/2016 8:00:19",0.445
90,"C","B",3,"NY",1,2,3,5,5,1,1,1,"TOO MANY PEOPLE",13,1,2,2,2,2,3,1,1,,,,,,,1,2,1,6,,5,5,1,3,6,1,"4/11/2016 8:01:15",0.445
91,"C","B",4,"CA",4,1,2,1,5,1,1,1,"MORE TORNADOES",3,1,1,98,1,1,1,1,2,,,,,,,1,2,1,2,,3,1,1,3,3,1,"4/11/2016 8:02:51",0.535
92,"C","B",3,"TX",2,1,6,5,5,1,1,3,"SEA WATER TEMP INCREASE, SEA WATER LEVELS RISING",11,3,3,4,2,3,3,1,2,,,,,,,1,2,1,1,2,5,2,2,98,,1,"4/11/2016 8:03:16",0.435
93,"C","B",2,"TX",2,1,6,2,2,1,1,3,"NEWS",6,1,1,3,2,1,3,1,2,,,,,,,1,1,,,,5,5,,,,2,"4/11/2016 8:11:06",0.87
94,"C","B",4,"NC",2,5,3,2,5,1,2,1,"FOSSIL FUEL COMBUSTION",8,2,2,2,2,3,98,3,2,,,,,,,1,2,1,,,5,1,1,3,3,1,"4/11/2016 8:13:23",0.135
95,"C","B",2,"OH",3,4,5,5,4,98,,,,,,,,,,,,,,,,,,,1,98,2,6,,3,5,1,98,2,2,"4/11/2016 8:13:46",1.52
96,"C","B",4,"TX",2,1,3,2,2,1,1,1,"SO MANY FACTORIES",8,1,2,98,2,1,2,2,2,,,,,,,3,2,1,2,,2,1,1,1,1,2,"4/11/2016 8:16:34",1.05
97,"C","B",2,"AL",2,1,3,5,5,1,1,3,"ICE MELTING",1,1,1,98,3,1,98,1,1,,,,,,,1,1,10,1,98,2,1,1,2,,1,"4/11/2016 8:17:43",0.955
98,"C","B",4,"CA",4,2,6,5,4,1,2,3,"EVERYTHING IS GOING TO SHIT",10,1,3,98,2,4,1,1,1,,,,,,,1,1,1,2,,3,1,2,2,4,2,"4/11/2016 8:18:01",0.85
99,"C","B",3,"FL",2,2,6,5,3,98,,,,,,,,,,,,,,,,,,,1,2,1,1,98,,2,98,2,,2,"4/11/2016 8:24:46",1.15
100,"C","B",2,"NY",1,1,3,2,4,1,1,1,"NEWS",6,1,2,4,2,3,1,1,1,,,,,,,1,1,,,,5,4,,,,2,"4/11/2016 8:25:47",0.87
101,"C","B",2,"NV",4,2,2,1,3,1,2,1,"SCIENTIFIC EVIDENCE",4,1,1,1,1,1,1,1,1,,,,,,,1,1,1,6,,5,5,3,5,5,1,"4/11/2016 8:26:09",0.505
102,"C","B",4,"CO",4,4,5,3,3,1,3,2,"CLIMATE CHANGES",3,2,3,4,4,4,4,2,4,,,,,,,3,3,1,6,,3,2,2,2,4,1,"4/11/2016 8:26:16",0.535
103,"C","B",1,"TX",2,1,6,5,2,1,1,3,"ICE CAPS MELTING",1,1,3,1,1,1,4,1,1,,,,,,,1,1,1,,,4,5,1,4,2,1,"4/11/2016 8:26:55",0.975
104,"C","B",1,"CA",4,3,6,5,5,98,,,,,,,,,,,,,,,,,,,3,2,9,6,,2,5,98,3,98,1,"4/11/2016 8:27:54",2.305
105,"C","B",3,"CA",4,1,3,5,5,1,1,1,"THE DETERIORATION OF THE OZONE LAYER",10,1,1,98,1,1,1,1,1,,,,,,,1,1,10,2,,3,2,1,5,,2,"4/11/2016 8:28:37",1.05
106,"C","B",4,"TX",2,2,3,2,98,98,,,,,,,,,,,,,,,,,,,3,2,2,6,,1,5,4,1,1,2,"4/11/2016 8:33:29",1.5
107,"C","B",3,"FL",2,2,6,5,3,1,2,2,"DATA OVER THE PAST 40 YEARS",4,3,4,4,4,4,4,1,4,,,,,,,3,3,1,6,,5,5,3,3,5,1,"4/11/2016 8:36:42",0.385
108,"C","B",3,"MI",3,5,4,5,3,1,1,3,"TOO COLD",2,3,3,98,98,2,4,4,4,,,,,,,1,3,1,1,1,3,1,4,1,1,2,"4/11/2016 8:38:29",1.25
109,"C","B",2,"NY",1,1,3,2,2,1,2,3,"SCIENTISTS",4,2,2,98,2,2,2,2,2,,,,,,,1,2,10,7,,4,2,4,4,5,2,"4/11/2016 8:40:05",1.07
110,"C","B",1,"AZ",4,1,6,1,1,2,,,,,,,,,,,,,1,"REFUSED",,1,2,3,2,3,9,5,,4,5,4,3,4,1,"4/11/2016 8:40:21",2.175
111,"C","B",3,"SD",3,1,2,5,3,1,1,1,"RESEARCH",4,1,1,2,3,1,4,2,1,,,,,,,1,1,1,1,2,4,1,1,2,4,2,"4/11/2016 8:41:00",1.12
112,"C","B",4,"CA",4,5,6,3,3,2,,,,,,,,,,,,,1,"UNBELIEVABLE",9,2,4,2,98,2,1,6,,3,1,2,2,3,1,"4/11/2016 8:42:57",0.535
113,"C","B",3,"KY",2,4,1,1,3,98,,,,,,,,,,,,,,,,,,,98,98,1,1,2,1,3,3,3,2,1,"4/11/2016 8:48:22",1.135
114,"C","B",3,"MN",3,98,98,98,98,1,1,98,"RESEARCH",4,1,4,1,98,2,98,1,98,,,,,,,98,98,1,2,,4,5,1,4,6,2,"4/11/2016 8:48:41",1.13
115,"C","B",2,"WA",4,3,4,1,5,1,1,1,"METHANE",10,2,2,2,3,2,2,2,2,,,,,,,1,1,1,6,,3,6,98,98,,1,"4/11/2016 8:50:47",0.955
116,"C","B",2,"GA",2,2,6,5,2,1,4,3,"CLIMATE CHANGE",3,2,4,2,4,2,4,3,4,,,,,,,3,2,2,6,,5,1,,2,3,1,"4/11/2016 8:54:06",0.805
117,"C","B",1,"KS",3,3,2,1,5,1,3,1,"NO IDEA",10,2,2,3,3,4,98,98,98,,,,,,,1,2,1,6,,3,4,3,3,2,2,"4/11/2016 8:55:12",1.32
118,"C","B",4,"CA",4,3,6,1,3,1,2,2,"NOT SURE",10,2,2,1,2,3,3,1,1,,,,,,,1,1,1,1,2,4,1,2,1,3,1,"4/11/2016 8:58:29",0.505
119,"C","B",4,"NJ",1,2,3,5,2,98,,,,,,,,,,,,,,,,,,,98,2,2,6,,2,1,98,3,,2,"4/11/2016 9:01:32",1.2
120,"C","B",4,"TX",2,2,6,2,3,98,,,,,,,,,,,,,,,,,,,98,1,1,1,1,3,1,98,1,3,2,"4/12/2016 7:30:31",0.85
121,"C","B",2,"NY",1,1,4,3,4,1,1,3,"ICE CAPS",1,1,1,2,1,2,1,1,2,,,,,,,1,1,5,7,,4,5,4,5,6,1,"4/12/2016 7:32:41",1.485
122,"C","B",2,"NJ",1,2,3,1,3,1,1,1,"TEMPERATURES",2,1,1,2,1,1,98,1,1,,,,,,,1,2,5,2,,4,1,,,,1,"4/12/2016 7:33:26",1.475
123,"C","B",1,"AZ",4,4,6,3,2,1,1,3,"POLLUTION",8,1,1,98,3,2,1,1,2,,,,,,,1,1,1,2,,3,4,4,4,,2,"4/12/2016 7:36:22",1.32
