"RespNumb","SAMPLE","VERSION","demog_age_list","demog_state","demog_state_region","weather_pastwinter","weather_snow","weather_pastsummer_v2","weather_today","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","weather_extremes","weather_gwimpact","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","DATE","TotalWeight"
124,"C","B",1,"OK",2,5,3,3,5,2,,,,,,,,,,,,,1,"SEASONAL CHANGES",2,4,98,98,3,2,1,1,2,2,1,4,3,3,1,"4/12/2016 7:38:15",1.105
125,"C","B",4,"OR",4,5,5,5,5,1,98,3,"NOT SURE",10,2,3,4,4,3,4,2,2,,,,,,,1,2,1,,,3,1,4,3,2,1,"4/12/2016 7:39:15",0.535
126,"C","B",2,"TN",2,4,2,2,5,1,1,3,"FALL WAS WARMER",2,2,1,2,1,3,2,2,1,,,,,,,1,2,10,6,,1,1,1,3,1,1,"4/12/2016 7:41:13",1.235
127,"C","B",3,"NY",1,3,4,3,3,2,,,,,,,,,,,,,1,"HISTORY",5,1,1,1,1,4,1,7,,4,5,4,3,4,1,"4/12/2016 7:41:41",0.805
128,"C","B",1,"MS",2,1,5,5,5,2,,,,,,,,,,,,,2,"NATURAL PATTERNS",2,2,1,2,1,4,1,1,1,2,5,,2,1,1,"4/12/2016 7:42:51",1.205
129,"C","B",1,"OK",2,1,6,2,5,1,1,1,"WHAT I READ",6,1,2,2,2,2,1,1,1,,,,,,,1,1,1,2,,2,3,4,4,1,2,"4/12/2016 7:43:33",1.52
130,"C","B",4,"NE",3,2,4,5,3,1,1,1,"POLLUTION",8,1,2,98,1,2,2,1,1,,,,,,,1,2,1,1,2,4,1,4,2,,2,"4/12/2016 7:44:22",0.82
131,"C","B",3,"SC",2,5,6,1,3,1,1,3,"GREENLAND, THE POLES, GLACIERS",1,1,2,2,1,2,1,1,1,,,,,,,1,2,1,2,,3,1,2,4,3,2,"4/12/2016 7:44:33",1.15
132,"C","B",3,"TX",2,5,6,2,3,98,,,,,,,,,,,,,,,,,,,1,2,2,6,,3,1,,,5,1,"4/12/2016 7:50:30",1.035
133,"C","B",4,"GA",2,5,5,5,3,2,,,,,,,,,,,,,2,"NEWS",4,1,2,1,3,3,1,1,1,2,3,4,2,1,1,"4/12/2016 7:50:32",0.735
134,"C","B",3,"MI",3,5,5,5,3,1,1,98,"STUDIES",4,3,4,4,4,4,4,4,4,,,,,,,3,1,1,2,,5,5,2,3,2,2,"4/12/2016 7:51:17",0.75
135,"C","B",3,"OK",2,2,4,5,2,1,1,2,"OZONE",10,1,1,1,1,1,98,1,1,,,,,,,1,1,1,2,,3,5,1,98,4,2,"4/12/2016 7:53:48",1.15
136,"C","B",1,"CA",4,2,6,2,2,1,1,1,"INDUSTRIALIZATION",8,1,4,3,1,2,2,1,2,,,,,,,1,2,1,6,,4,5,4,1,6,1,"4/12/2016 7:54:39",0.985
137,"C","B",1,"TX",2,2,6,5,5,98,,,,,,,,,,,,,,,,,,,3,2,1,,,2,2,,2,2,1,"4/12/2016 7:57:05",1.105
138,"C","B",1,"IL",3,4,98,3,4,98,,,,,,,,,,,,,,,,,,,98,1,5,6,,3,5,,98,1,2,"4/12/2016 7:58:35",1.97
139,"C","B",2,"OH",3,5,3,5,3,2,,,,,,,,,,,,,2,"ITS ALL IN A CYCLE",2,4,4,4,3,4,1,2,,2,1,3,2,3,1,"4/12/2016 7:58:59",1.055
140,"C","B",3,"FL",2,1,6,3,1,1,1,2,"CAUSE IT'S SO HOT, WHEN GOLFING HAVE TO WEAR STRAW HAT DID",2,1,1,98,98,2,98,1,1,,,,,,,98,1,1,6,,3,2,98,98,3,1,"4/12/2016 7:59:27",0.835
141,"C","B",1,"TX",2,5,5,5,5,1,1,2,"CYCLES",9,1,1,1,4,3,3,1,1,,,,,,,1,4,1,6,,4,5,2,2,6,1,"4/12/2016 8:00:09",0.985
142,"C","B",4,"PA",1,5,2,2,5,1,3,2,"WEATHER WE HAVE, EARLIER SPRING AND GEESE DON'T MIGRATE AN",3,1,2,98,1,2,2,2,2,,,,,,,3,2,1,1,1,2,2,1,2,,1,"4/12/2016 8:02:23",0.635
143,"C","B",2,"OK",2,2,3,5,5,1,1,3,"HUMAN ACTIVITY",8,1,3,2,3,3,2,2,2,,,,,,,3,98,1,2,,4,5,4,3,,2,"4/12/2016 8:03:54",1.24
144,"C","B",4,"OH",3,5,5,2,3,1,1,98,"STATISTICS",4,98,4,4,4,2,98,4,4,,,,,,,98,2,1,1,1,4,5,2,2,6,1,"4/12/2016 8:07:57",0.515
145,"C","B",4,"UT",4,2,4,5,2,2,,,,,,,,,,,,,2,"SOME AREAS HAVE BEEN EXTRA COLD",1,2,4,1,1,2,1,6,,5,1,2,1,3,2,"4/12/2016 8:08:03",0.45
146,"C","B",3,"FL",2,5,6,5,5,2,,,,,,,,,,,,,2,"FLORIDA HAS COLD WINTERS ON RECORD",1,3,98,4,1,3,1,98,,4,6,2,3,,2,"4/12/2016 8:08:48",1.12
147,"C","B",4,"MD",2,5,1,3,3,1,2,1,"ICE CAP MELTING, POLAR BEAR DEPLETION, WATER RISING",1,1,2,2,1,1,1,1,1,,,,,,,1,1,1,2,,3,1,1,3,3,1,"4/12/2016 8:09:39",0.535
148,"C","B",4,"ID",4,5,5,5,5,1,1,1,"LIVED A LONG TIME",10,1,98,,3,2,4,2,98,,,,,,,1,1,1,6,,5,3,4,3,1,1,"4/12/2016 8:09:46",0.235
149,"C","B",3,"SC",2,2,6,5,5,1,2,1,"SCIENCE DISOVERIES",4,1,2,1,2,4,1,2,2,,,,,,,3,2,1,1,2,4,1,1,4,4,1,"4/12/2016 8:09:47",0.805
150,"C","B",3,"FL",2,4,6,3,5,1,2,1,"POLAR ICE CAPS MELTING",1,1,2,2,2,2,2,2,2,,,,,,,1,2,1,1,2,3,5,,,,2,"4/12/2016 8:12:27",1.15
151,"C","B",1,"PA",1,2,3,5,5,1,1,3,"SCIENTIFIC EVIDENCE",4,1,3,1,2,3,2,1,1,,,,,,,1,1,1,5,,5,3,4,4,3,1,"4/12/2016 8:13:59",0.605
152,"C","B",1,"NY",1,4,5,5,3,1,2,1,"CHANGE",10,3,3,4,2,2,3,3,3,,,,,,,3,1,2,2,,4,2,1,1,1,1,"4/12/2016 8:15:37",1.325
153,"C","B",3,"MI",3,3,3,5,4,2,,,,,,,,,,,,,1,"COLDER LATER IN SEASON",1,3,3,1,1,1,2,6,,3,1,1,3,,1,"4/12/2016 8:16:53",1.085
154,"C","B",4,"TX",2,2,6,3,2,1,1,1,"POWER PLANTS, CARBON IN THE AIR",8,2,1,1,2,4,1,1,1,,,,,,,1,1,,,,2,5,,,,1,"4/12/2016 8:17:02",0.635
155,"C","B",3,"NC",2,4,5,5,3,98,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,1,1,4,2,1,"4/12/2016 8:21:25",1.185
156,"C","B",2,"NJ",1,2,4,5,2,1,1,1,"FIRST HAND DEDUCTION",2,1,2,4,4,2,2,2,4,,,,,,,3,1,9,2,,5,5,4,3,6,1,"4/12/2016 8:23:11",1.765
157,"C","B",3,"IL",3,2,4,4,4,98,,,,,,,,,,,,,,,,,,,98,1,5,5,,4,5,1,2,4,2,"4/12/2016 8:24:39",1.67
158,"C","B",4,"FL",2,2,6,2,2,1,1,1,"BECAUSE THE PEOPLE ARE NOT LISTENING TO GOD'S WORD",12,1,2,3,1,1,1,1,1,,,,,,,1,1,1,1,2,2,1,1,1,2,2,"4/12/2016 8:28:31",0.95
159,"C","B",4,"IA",3,5,2,5,2,1,2,2,"WEATHER CHANGES IN VARIOUS PARTS OF COUNTRY",3,2,2,2,2,2,2,2,2,,,,,,,3,2,1,1,2,3,1,1,4,3,1,"4/12/2016 8:28:33",0.535
160,"C","B",1,"CA",4,5,6,2,5,98,,,,,,,,,,,,,,,,,,,98,2,5,5,,5,5,4,5,5,2,"4/12/2016 8:29:59",1.42
161,"C","B",3,"AZ",4,5,2,5,5,1,2,3,"POLAR CAP MELTING, HOOVER DAM WATER DECREASE",1,1,4,4,1,2,1,1,1,,,,,,,1,2,1,6,,2,1,2,1,5,1,"4/12/2016 8:32:33",0.885
162,"C","B",2,"GA",2,5,6,3,3,98,,,,,,,,,,,,,,,,,,,3,2,1,6,,3,5,4,3,3,1,"4/12/2016 8:33:26",0.955
163,"C","B",1,"TX",2,5,5,5,5,98,,,,,,,,,,,,,,,,,,,3,4,1,1,1,3,1,2,98,6,1,"4/12/2016 8:33:40",1.015
164,"C","B",3,"UT",4,4,1,1,1,1,1,3,"POLLUTION",8,3,3,2,3,3,2,2,2,,,,,,,1,2,9,6,,3,5,2,1,3,1,"4/12/2016 8:35:36",2.035
165,"C","B",1,"MI",3,1,6,5,1,1,1,1,"WASTE",8,2,3,1,3,1,3,2,2,,,,,,,1,1,1,6,,2,5,1,2,3,2,"4/12/2016 8:37:05",1.42
166,"C","B",3,"AR",2,98,98,98,98,2,,,,,,,,,,,,,1,"IM A CHRISTIAN",6,98,98,98,98,98,1,2,,5,5,4,2,98,2,"4/12/2016 8:38:17",0.75
167,"C","B",1,"MA",1,1,4,5,3,1,1,1,"SCIENTIFIC EVIDENCE",4,1,2,98,2,1,98,1,1,,,,,,,3,1,1,1,2,4,1,2,3,6,2,"4/12/2016 8:39:30",1.3
168,"C","B",3,"OH",3,2,4,3,5,98,,,,,,,,,,,,,,,,,,,1,2,1,1,2,4,3,2,3,6,2,"4/12/2016 8:48:58",1.13
169,"C","B",4,"PA",1,2,4,3,1,98,,,,,,,,,,,,,,,,,,,2,2,1,1,1,4,1,2,2,3,2,"4/12/2016 8:52:25",0.82
170,"C","B",3,"OH",3,2,4,3,3,1,2,1,"NEWS PAPER",6,1,3,3,1,1,2,1,1,,,,,,,1,1,1,1,2,4,1,1,3,3,1,"4/12/2016 8:53:28",0.805
171,"C","B",3,"SC",2,5,4,5,3,98,,,,,,,,,,,,,,,,,,,1,1,2,1,2,5,1,1,4,6,2,"4/12/2016 8:56:48",1.01
172,"C","B",4,"CA",4,1,4,1,2,1,1,3,"RESEARCH READ",4,1,1,1,1,2,2,1,1,,,,,,,1,1,2,6,,3,1,1,98,1,1,"4/13/2016 10:01:59",0.885
173,"C","A",2,"CA",4,1,6,2,2,98,,,,,,,,,,,,,,,,,,,1,1,1,2,,4,1,1,1,5,2,"4/13/2016 10:11:54",1.19
174,"C","A",3,"CA",4,98,6,98,98,98,,,,,,,,,,,,,,,,,,,2,2,,,,3,5,,,,1,"4/13/2016 10:12:23",0.835
175,"C","A",1,"WA",4,4,1,1,5,1,2,1,"ICE CAPS",1,1,1,2,1,4,1,2,1,,,,,,,1,2,9,6,,2,5,2,2,3,1,"4/13/2016 10:15:46",2.305
176,"C","A",1,"WA",4,5,4,1,5,1,2,1,"CORPORATIONS",8,1,2,2,1,1,1,1,1,,,,,,,1,1,1,6,,2,5,4,3,1,1,"4/13/2016 10:18:49",1.205
177,"C","A",2,"FL",2,2,6,2,2,1,1,1,"ICE WARMING",1,2,2,1,3,2,2,2,1,,,,,,,1,1,1,6,,4,5,2,1,2,1,"4/13/2016 5:09:58",0.925
178,"C","A",4,"NY",1,4,4,1,3,2,,,,,,,,,,,,,3,"COOLER WEATHER",1,2,3,3,1,2,9,2,,2,1,2,3,1,2,"4/13/2016 5:11:40",2.25
179,"C","A",1,"VA",2,5,3,2,5,98,,,,,,,,,,,,,,,,,,,98,3,5,1,98,3,5,98,4,,1,"4/13/2016 5:17:50",1.555
180,"C","A",4,"OH",3,2,4,3,1,1,1,2,"GLACIERS MELTING",1,2,2,98,2,98,4,2,2,,,,,,,3,1,1,6,,2,1,,2,4,1,"4/13/2016 5:19:31",0.635
181,"C","A",3,"FL",2,2,3,2,3,1,1,1,"ICE MELTING",1,1,4,4,2,1,1,1,1,,,,,,,1,1,1,1,2,3,1,1,2,6,1,"4/13/2016 5:20:59",0.845
182,"C","A",4,"FL",2,2,5,1,1,98,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,1,4,3,4,1,"4/13/2016 5:21:37",0.535
183,"C","A",3,"NM",4,1,4,1,5,1,1,1,"WEATHER",3,1,2,1,1,2,1,1,1,,,,,,,1,1,,,,4,5,,,,2,"4/13/2016 5:23:24",1.12
184,"C","A",4,"VA",2,5,2,4,5,2,,,,,,,,,,,,,98,"POLARITIZATION OF PREPORTED STATS",7,1,3,1,2,98,1,1,2,5,5,4,2,1,2,"4/13/2016 5:27:52",0.55
185,"C","A",2,"NH",1,2,4,1,2,2,,,,,,,,,,,,,1,"WEATHER PATTERN EBBS & FLOWS",1,1,3,98,98,2,1,1,1,5,1,2,1,5,2,"4/13/2016 5:30:34",0.82
186,"C","A",4,"GA",2,1,5,2,5,1,1,98,"FROM WHAT HES HEARD",10,2,3,98,2,2,3,3,2,,,,,,,1,2,2,1,2,2,1,1,4,4,1,"4/13/2016 5:32:24",0.885
187,"C","A",3,"TN",2,5,1,5,5,1,2,2,"ICE CAPS",1,1,2,2,2,2,2,2,2,,,,,,,3,1,1,1,1,3,5,2,1,2,1,"4/13/2016 5:35:41",0.835
188,"C","A",3,"MD",2,1,1,5,3,1,1,1,"CO2  LEVELS",10,1,1,1,1,1,1,1,1,,,,,,,1,1,,,,3,2,,,,2,"4/13/2016 5:41:12",1.15
189,"C","A",3,"WV",2,5,3,5,3,2,,,,,,,,,,,,,1,"ITS A LIE",9,2,1,2,1,4,1,1,98,3,98,1,3,3,1,"4/13/2016 5:41:49",0.835
190,"C","A",4,"PA",1,1,4,5,5,1,98,1,"OLD ENOUGH TO KNOW BETTER",10,3,4,2,98,2,98,3,4,,,,,,,3,2,1,1,2,2,1,1,4,1,1,"4/13/2016 5:42:25",0.735
191,"C","A",4,"MI",3,5,4,5,5,98,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,1,98,1,4,1,"4/13/2016 5:48:06",0.635
192,"C","A",1,"OH",3,98,2,3,2,1,1,3,"WEATHER CHANGES",3,2,3,98,2,3,2,2,1,,,,,,,1,2,2,1,2,1,1,,,,2,"4/13/2016 5:51:55",1.87
193,"C","A",4,"IN",3,2,3,98,5,1,2,1,"DONT KNOW",10,1,4,4,98,3,98,3,4,,,,,,,1,2,1,1,2,2,1,,3,,2,"4/13/2016 5:52:07",0.95
194,"C","A",1,"GA",2,2,6,1,5,1,1,2,"SEVERE STORMS",3,1,3,98,3,2,98,98,1,,,,,,,1,2,1,6,,2,1,3,3,2,2,"4/13/2016 5:59:49",1.42
195,"C","A",3,"PA",1,2,3,2,2,1,2,1,"NEWS REPORTS",6,1,2,2,2,2,2,1,2,,,,,,,1,2,1,2,,4,98,1,3,4,1,"4/13/2016 6:00:04",0.805
196,"C","A",1,"FL",2,3,6,5,5,1,98,1,"WHAT I HEARD ON TELEVISION",6,2,2,98,4,2,2,2,4,,,,,,,1,1,10,6,,4,5,98,4,2,2,"4/13/2016 6:01:31",1.17
197,"C","A",3,"ME",1,5,3,3,5,1,1,1,"NEWSPAPER ARTICLES AND TV NEWS",6,2,2,2,2,3,2,3,1,,,,,,,3,1,1,1,2,4,2,4,2,5,2,"4/13/2016 6:02:28",1.07
198,"C","A",4,"TX",2,5,4,5,2,2,,,,,,,,,,,,,1,"AGE EXPERIENCE SEEN IT BEFORE",1,1,3,2,3,2,1,2,,1,1,2,1,3,1,"4/13/2016 6:05:49",0.835
199,"C","A",3,"MD",2,2,1,5,5,1,1,1,"SCIENTIFIC EVIDENCE",4,1,2,1,2,2,1,1,1,,,,,,,1,1,1,7,,4,2,1,5,6,1,"4/13/2016 6:07:35",0.815
200,"C","A",4,"WI",3,2,3,5,4,98,,,,,,,,,,,,,,,,,,,98,4,,6,,2,1,4,4,,2,"4/13/2016 6:13:33",0.95
201,"C","A",1,"NY",1,1,4,1,2,1,1,3,"POLLUTION",8,1,1,1,1,1,4,1,98,,,,,,,1,1,10,,,2,2,2,1,6,1,"4/13/2016 6:17:01",1.015
202,"C","A",2,"MO",3,2,3,2,98,2,,,,,,,,,,,,,3,"WEATHER IS NOT CONSISTENT",1,1,3,3,1,2,2,6,,4,5,4,2,6,1,"4/13/2016 6:21:45",1.185
203,"C","A",3,"OK",2,2,4,2,3,2,,,,,,,,,,,,,1,"EL NINA THIS YEAR",9,4,4,4,1,2,1,1,2,2,1,2,98,1,1,"4/13/2016 6:22:14",1.035
204,"C","A",2,"UT",4,2,5,2,5,1,1,1,"SCIENTIFIC EVIDENCE",4,1,1,1,1,1,1,1,1,,,,,,,1,1,1,7,,5,5,1,5,6,2,"4/13/2016 6:24:42",0.88
205,"C","A",1,"TX",2,1,6,4,3,1,2,98,"WATCHING TEMPS GETTING WARMER",2,1,1,1,2,1,1,1,1,,,,,,,1,1,1,1,1,5,5,2,1,3,2,"4/13/2016 6:25:29",0.92
206,"C","A",1,"CO",4,5,5,2,3,1,1,2,"FEELING THE CHANGE, WATCHED A VIDEO",2,2,4,3,2,1,1,2,2,,,,,,,1,1,,,,5,5,,,,1,"4/13/2016 6:27:01",0.605
207,"C","A",4,"IA",3,2,4,5,2,1,1,2,"TOO MANY PEOPLE",13,1,2,3,2,1,2,1,1,,,,,,,1,1,1,6,,2,2,2,3,3,2,"4/13/2016 6:30:10",0.95
208,"C","A",3,"FL",2,1,6,1,5,1,1,1,"SCIENTFIC CHARTS ON THE SEA LEVELS AND THE GLACIERS ARE DI",4,1,1,1,1,1,2,1,1,,,,,,,1,1,1,1,2,5,1,1,3,6,1,"4/13/2016 6:30:39",0.445
209,"C","A",1,"FL",2,2,6,1,5,1,1,2,"RANDOM IN FLORIDA, RECORD BREAKING OVER 100 DEGREES",2,1,1,3,1,4,4,2,1,,,,,,,1,2,9,2,,2,5,4,5,1,1,"4/13/2016 6:31:12",2.405
210,"C","A",3,"IN",3,2,4,3,2,2,,,,,,,,,,,,,2,"IT'S COLDER",1,1,1,1,3,4,1,6,,3,5,2,2,3,1,"4/13/2016 6:51:18",0.835
211,"C","A",1,"IL",3,1,3,1,2,1,1,1,"SCIENTIFIC CONSENSES",4,1,2,2,2,2,2,2,2,,,,,,,1,1,1,,,4,5,1,5,3,1,"4/13/2016 6:54:26",0.975
212,"C","A",2,"MT",4,2,5,3,5,2,,,,,,,,,,,,,1,"RECORDS ONLY 100 YRS",3,4,98,4,3,,,,,3,5,,,,1,"4/13/2016 6:55:23",0.955
213,"C","A",3,"NE",3,2,4,5,2,1,1,3,"RESEARCH",4,2,2,2,4,2,4,4,4,,,,,,,1,2,1,1,2,5,1,2,2,6,1,"4/13/2016 6:57:14",0.445
214,"C","A",2,"CO",4,5,5,3,5,1,1,2,"JUST ANOTHER CYCLE",9,3,3,4,4,3,4,4,4,,,,,,,3,3,1,6,,2,5,3,1,3,1,"4/13/2016 7:00:49",1.055
215,"C","A",2,"OK",2,1,4,3,2,1,1,1,"WEATHER PATTERNS AND REPUBLICANS",3,1,2,1,1,1,1,1,1,,,,,,,1,1,1,,,3,5,1,4,3,2,"4/13/2016 7:01:32",1.27
216,"C","A",3,"AR",2,2,4,5,3,2,,,,,,,,,,,,,1,"CYCLICAL",2,1,4,4,3,98,10,1,98,1,5,2,98,2,1,"4/13/2016 7:06:01",1.015
217,"C","A",3,"TX",2,2,4,4,5,2,,,,,,,,,,,,,1,"ARCTIC CAP IS GETTING BIGGER",5,1,3,4,3,1,1,1,1,3,1,2,2,3,2,"4/13/2016 7:06:44",1.15
218,"C","A",1,"TX",2,1,3,1,1,1,1,1,"SCIENTIFIC EVIDENCE",4,1,1,1,1,1,1,1,1,,,,,,,1,1,5,7,,4,5,4,5,6,2,"4/13/2016 7:07:25",1.85
219,"C","A",2,"LA",2,3,6,5,3,1,2,2,"ALL THE RAIN IN TX OVER PAST 2 MONTHS",3,4,3,98,1,3,3,3,1,,,,,,,1,1,2,6,,3,1,4,4,2,1,"4/13/2016 7:08:50",1.205
220,"C","A",1,"PA",1,2,4,5,4,1,1,3,"POWER PLANTS, CAR ACTIVITY",8,2,2,4,1,1,1,1,2,,,,,,,1,1,1,1,2,4,5,1,3,2,1,"4/13/2016 7:12:30",0.975
221,"C","A",1,"OH",3,2,4,2,1,1,1,1,"GREENHOUSE GASES",8,1,2,98,1,1,2,98,1,,,,,,,1,2,2,6,,2,5,1,4,3,2,"4/13/2016 7:12:36",1.67
222,"C","A",1,"TX",2,5,1,1,5,1,1,3,"BASED ON NEWS AND EVERYTHING ELSE I HEAR",6,2,1,2,2,4,1,1,1,,,,,,,1,2,9,6,,3,1,98,4,2,2,"4/13/2016 7:12:42",2.52
223,"C","A",3,"FL",2,2,6,2,5,1,1,1,"POLAR CAPS DISAPPEARING",1,2,4,3,3,3,4,2,3,,,,,,,1,2,1,98,,4,1,4,3,6,1,"4/13/2016 7:16:15",0.815
224,"C","A",1,"ID",4,3,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,1,"4/13/2016 7:16:29",0.605
225,"C","A",3,"TX",2,3,6,5,5,98,,,,,,,,,,,,,,,,,,,3,4,9,2,,3,1,1,4,3,2,"4/13/2016 7:20:58",2.35
226,"C","A",2,"CO",4,5,5,5,5,1,2,3,"C SPAN INTERVIEW",6,2,3,2,2,3,3,3,2,,,,,,,3,4,1,1,2,2,1,4,3,3,1,"4/13/2016 7:25:35",1.055
227,"C","A",1,"CA",4,2,5,5,3,1,2,3,"SCIENTIFIC",4,1,4,1,2,2,4,1,1,,,,,,,1,1,10,6,,3,5,1,5,1,2,"4/13/2016 7:26:13",1.3
228,"C","A",3,"KS",3,2,3,1,5,1,1,98,"NO COMMENT",10,3,3,98,4,1,4,98,1,,,,,,,1,1,2,1,98,2,1,2,3,98,1,"4/13/2016 7:27:52",1.185
229,"C","A",2,"WI",3,1,4,3,3,1,2,1,"I FOLLOW RESEARCHERS ON SCIENTIFIC DATA",4,1,1,1,1,1,1,1,1,,,,,,,1,1,1,6,,3,5,1,5,1,2,"4/13/2016 7:29:52",1.37
230,"C","A",4,"NE",3,2,3,1,2,1,4,3,"USUAL ACTIVITY IN THE ARTIC CIRCLE",3,1,1,98,1,3,2,2,2,,,,,,,1,1,1,6,,5,1,2,4,,2,"4/13/2016 7:31:07",0.45
231,"C","A",2,"MN",3,5,4,5,5,1,1,98,"NOT SURE",10,1,1,98,2,3,3,98,2,,,,,,,3,2,1,7,,3,5,4,4,2,1,"4/13/2016 7:36:05",0.955
232,"C","A",3,"AZ",4,5,6,2,3,1,2,3,"WHAT I READ",6,2,3,1,2,4,2,2,3,,,,,,,1,2,1,7,,3,5,4,5,4,1,"4/13/2016 7:38:59",0.835
233,"C","A",3,"WA",4,5,5,5,2,2,,,,,,,,,,,,,1,"LACK OF GOOD INFORMATION",3,1,4,2,1,1,1,1,1,4,5,4,1,5,1,"4/13/2016 7:41:19",0.755
234,"C","A",3,"CA",4,5,6,3,5,1,1,3,"CONTAMINATION, FIRES IN THE WORLD",8,1,3,4,1,3,1,1,1,,,,,,,1,1,9,98,,1,1,,4,2,2,"4/13/2016 7:42:15",2.65
235,"C","A",3,"AL",2,3,6,2,3,98,,,,,,,,,,,,,,,,,,,1,1,2,1,2,3,1,1,4,2,2,"4/13/2016 7:42:42",1.4
236,"C","A",2,"AZ",4,1,6,5,2,1,1,3,"I FEEL IT, AND SEE RESEARCH ABOUT IT",2,98,98,4,4,4,4,4,4,,,,,,,1,1,1,1,1,4,5,2,1,4,2,"4/13/2016 7:45:58",1.24
237,"C","A",2,"NV",4,2,6,5,5,1,1,3,"FROM WHAT THEY READ",6,2,4,2,4,4,2,1,2,,,,,,,3,2,10,6,,4,4,3,4,6,1,"4/13/2016 7:53:37",0.815
238,"C","A",4,"IA",3,5,4,5,1,1,2,2,"BECAUSE OF DRYNESS",3,4,2,4,2,4,4,2,1,,,,,,,1,1,1,6,,3,2,4,3,4,2,"4/13/2016 7:53:51",0.85
239,"C","A",3,"MA",1,2,4,5,5,98,,,,,,,,,,,,,,,,,,,3,2,1,6,,4,1,2,3,,2,"4/13/2016 7:55:41",1.12
240,"C","B",2,"CA",4,1,6,2,3,1,2,3,"TRASH IN THE OCEAN",8,2,1,98,2,98,98,1,2,,,,,,,1,1,9,1,2,2,5,1,3,3,2,"4/13/2016 8:20:25",2.57
241,"C","B",4,"AR",2,1,4,2,2,1,2,1,"THE WAY  THE WINTER WAS",3,2,1,2,2,2,2,1,1,,,,,,,1,2,1,6,,3,1,4,3,,1,"4/13/2016 8:22:42",0.535
242,"C","B",3,"NY",1,1,4,2,2,1,98,1,"WATCHING DOCUMENTARY",6,1,1,2,1,1,1,98,2,,,,,,,1,1,1,2,,3,1,1,3,2,2,"4/13/2016 8:31:06",1.15
243,"C","B",3,"WA",4,4,4,2,5,2,,,,,,,,,,,,,1,"STREAMS",9,3,98,98,1,2,1,2,,4,1,1,4,6,2,"4/13/2016 8:31:38",1.13
244,"C","B",1,"TX",2,1,3,2,1,1,1,3,"THINGS IVE READ ON THE NEWS",6,2,1,1,98,1,1,1,1,,,,,,,1,1,9,2,,2,1,3,3,2,2,"4/13/2016 8:34:33",2.62
245,"C","B",2,"NY",1,4,4,4,1,1,1,3,"CHANGES IN WEATHER",3,1,1,4,1,1,98,4,1,,,,,,,3,98,9,,,3,5,4,4,,1,"4/13/2016 8:40:15",2.155
246,"C","B",4,"MO",3,2,3,5,5,98,,,,,,,,,,,,,,,,,,,1,3,1,2,,2,1,2,2,4,2,"4/13/2016 8:44:08",0.95
247,"C","B",2,"NY",1,2,3,5,5,1,1,1,"WEATHER PATTERNS",3,1,2,2,2,3,4,1,1,,,,,,,1,2,1,4,,4,1,1,3,2,1,"4/13/2016 8:46:33",0.925
248,"C","B",3,"CA",4,2,6,3,5,2,,,,,,,,,,,,,1,"CYCLES",2,1,1,1,3,2,1,1,1,5,2,2,2,6,1,"4/13/2016 8:52:11",0.445
249,"C","B",2,"CA",4,5,5,2,5,1,1,3,"INFORMATION",6,1,1,1,4,1,4,4,4,,,,,,,1,2,,,,5,5,,,,1,"4/13/2016 8:57:30",0.555
250,"C","B",3,"FL",2,3,6,98,1,1,1,2,"ICE CAPS",1,1,98,2,4,4,98,1,1,,,,,,,1,1,1,2,,4,3,2,1,6,2,"4/13/2016 9:00:53",1.13
251,"C","B",2,"CA",4,3,4,3,3,1,1,3,"MELTING ICE",1,1,98,3,4,3,2,2,2,,,,,,,98,3,1,6,,2,3,4,3,2,2,"4/13/2016 9:18:01",1.37
