"choice","lib","con","counteratt","proatt","forcedmod","hc_partyrating","hc_perseffect","publicoption","requireinsur","hctaxrich","carehc","poli_time","Dnfc","control","resist_op","hostilemedia","politrust"
0,1,0,0,0,0,1,-1,2,3,6,0,,0,1,7,0.35918340086937,2.66666674613953
1,0,0,0,0,0,1,-1,4,2,4,2,,0,0,4,0.35918340086937,3.88888883590698
0,1,0,0,1,0,6,0,5,4,4,2,,1,0,5,0.35918340086937,2.88888883590698
0,0,0,0,0,0,1,-1,2,1,3,3,,1,1,2,0.35918340086937,2.88888883590698
0,0,1,0,0,0,2,-1,3,2,2,2,,1,1,3.5,0.35918340086937,3.88888883590698
0,1,0,0,0,0,5,0,4,5,2,2,,1,1,1.5,0.35918340086937,4.11111116409302
1,1,0,0,0,0,6,0,4,4,6,2,1009.60003662109,0,0,5,0.35918340086937,3.44444441795349
0,0,0,0,0,1,4,0,2,2,2,2,,1,0,3.5,-1.86411333084106,3.88888883590698
1,1,0,0,0,0,6,1,5,4,5,3,490.599975585938,1,0,7.5,0.35918340086937,2.88888883590698
1,1,0,0,0,0,4,-1,4,5,3,3,64.9000015258789,0,0,5.5,0.35918340086937,2.88888883590698
0,1,0,0,0,0,5,1,4,1,2,2,,0,1,6,0.35918340086937,2.55555558204651
1,1,0,0,0,0,5,0,6,4,5,3,963.200012207031,1,0,3,0.35918340086937,3.11111116409302
0,1,0,0,0,0,6,-1,2,3,5,2,,0,1,4.5,-2.86667227745056,2.66666674613953
0,0,1,0,1,0,7,1,5,2,5,3,,1,0,5,0.35918340086937,3.55555558204651
0,1,0,0,1,0,6,1,4,4,2,2,,1,0,3.5,0.35918340086937,3.77777767181396
1,1,0,0,0,0,5,1,4,4,3,1,63.5,1,0,4.5,0.35918340086937,3.11111116409302
0,1,0,0,1,0,6,0,5,3,5,0,,1,0,5,-1.86411333084106,4.77777767181396
1,1,0,0,0,0,6,1,3,3,5,1,892.399963378906,1,0,6.5,0.35918340086937,3.55555558204651
0,1,0,1,0,0,7,0,6,5,6,3,,1,0,8.5,0.35918340086937,3.11111116409302
0,1,0,0,0,0,6,1,5,3,6,3,,1,1,4.5,0.35918340086937,4.33333349227905
1,0,0,0,0,0,2,-1,2,2,2,2,42.5,0,0,1,0.35918340086937,2.66666674613953
0,1,0,1,0,0,5,0,4,4,4,1,,0,0,4.5,0.35918340086937,3.55555558204651
0,0,1,0,1,0,3,-1,2,2,2,3,,1,0,1.5,-1.86411333084106,4.22222232818604
1,1,0,0,0,0,6,1,4,4,5,2,399,0,0,5,0.35918340086937,2.88888883590698
0,0,1,0,0,0,5,0,5,3,3,2,,1,1,5,-0.64337545633316,4
1,0,0,0,0,0,4,1,4,2,4,3,947.100036621094,0,0,4,0.35918340086937,3.11111116409302
0,0,0,0,0,0,4,1,2,2,5,2,,1,1,5,0.35918340086937,3.11111116409302
1,1,0,0,0,0,6,0,4,4,4,0,531.099975585938,0,0,5,0.35918340086937,3.55555558204651
1,1,0,0,0,0,4,-1,4,5,3,2,1049.19995117188,1,0,2.5,0.35918340086937,3.11111116409302
0,0,0,0,0,1,2,0,3,2,1,3,,0,0,3.5,0.35918340086937,2.88888883590698
1,1,0,0,0,0,5,0,5,3,5,1,,1,0,6,0.35918340086937,3.33333325386047
0,1,0,1,0,0,6,0,4,4,4,2,,0,0,6.5,0.35918340086937,3.44444441795349
0,1,0,0,0,0,5,1,4,4,3,1,,0,1,4.5,0.35918340086937,3
0,1,0,0,0,0,6,1,5,6,6,2,,0,1,4.5,0.35918340086937,2.77777767181396
1,1,0,0,0,0,6,0,3,4,3,1,162.800003051758,0,0,5,0.35918340086937,2.88888883590698
0,1,0,0,1,0,6,1,4,4,4,3,,0,0,5,-2.86667227745056,3.33333325386047
0,0,0,0,0,0,4,1,3,2,4,2,,1,1,4,0.35918340086937,3.11111116409302
0,1,0,0,1,0,6,1,4,4,5,2,,0,0,4,0.35918340086937,3.66666674613953
1,1,0,0,0,0,6,0,5,5,5,2,1050.09997558594,1,0,2.5,0.35918340086937,4.44444465637207
1,1,0,0,0,0,6,1,3,3,2,2,683.299987792969,1,0,7,0.35918340086937,2.66666674613953
1,0,1,0,0,0,3,1,4,4,2,1,129.799987792969,1,0,5,0.35918340086937,2.66666674613953
1,1,0,0,0,0,5,0,4,4,5,2,287.5,1,0,6,0.35918340086937,3.44444441795349
0,1,0,0,1,0,7,1,6,6,6,3,,0,0,3,0.35918340086937,2.88888883590698
0,1,0,0,1,0,6,0,5,2,5,1,,1,0,3.5,-1.86411333084106,3.44444441795349
1,1,0,0,0,0,6,0,5,5,5,2,34.9000015258789,0,0,4,0.35918340086937,3
0,0,1,1,0,0,4,-1,5,3,6,3,,1,0,7,0.35918340086937,3.44444441795349
0,1,0,0,0,0,6,1,5,5,4,1,,1,1,4.5,0.35918340086937,2.22222232818604
0,1,0,0,1,0,5,1,3,4,3,1,,0,0,5,-0.861554503440857,3.66666674613953
1,0,1,0,0,0,3,0,2,1,2,2,972.600036621094,1,0,3.5,0.35918340086937,3.88888883590698
0,0,1,0,0,0,6,-1,2,5,6,2,,1,1,2.5,0.35918340086937,3.22222232818604
1,0,0,0,0,0,4,0,1,4,4,2,538.400024414063,0,0,1,0.35918340086937,2.33333325386047
1,1,0,0,0,0,6,1,5,6,5,2,1026.59997558594,1,0,6,0.35918340086937,3.66666674613953
1,0,0,0,0,0,2,-1,3,3,3,2,0,0,0,4.5,0.35918340086937,2.88888883590698
1,1,0,0,0,0,6,0,6,5,6,2,1043.59997558594,1,0,8,0.35918340086937,3.44444441795349
1,0,0,0,0,0,4,1,5,4,6,3,972.099975585938,1,0,7.5,-0.64337545633316,2.55555558204651
1,0,0,0,0,0,5,0,6,6,4,0,38,0,0,1,0.35918340086937,3.22222232818604
0,1,0,1,0,0,6,0,4,6,5,3,,1,0,7.5,0.35918340086937,3.88888883590698
0,1,0,0,0,0,6,0,6,3,6,2,,1,1,5,0.35918340086937,3.22222232818604
1,0,1,0,0,0,2,0,2,2,2,2,34.5,0,0,1,-1.64593422412872,4.11111116409302
0,1,0,0,0,0,5,1,5,3,4,1,,0,1,4,0.35918340086937,3.66666674613953
1,1,0,0,0,0,7,0,4,5,2,1,0,0,0,3,0.35918340086937,3.66666674613953
0,0,1,0,0,0,3,0,2,6,2,1,,1,1,2.5,0.35918340086937,3.22222232818604
1,0,1,0,0,0,3,0,2,2,2,2,188.799987792969,0,0,5,-1.86411333084106,3.66666674613953
0,1,0,0,0,0,6,0,4,5,4,2,,0,1,2,-1.86411333084106,3.77777767181396
1,0,1,0,0,0,3,-1,2,2,1,3,995.299987792969,1,0,2,-1.86411333084106,4
1,1,0,0,0,0,5,1,5,5,4,3,1001.60003662109,0,0,8.5,0.35918340086937,3.44444441795349
1,1,0,0,0,0,3,0,3,5,3,1,158.800003051758,0,0,3.5,0.35918340086937,3.88888883590698
0,1,0,1,0,0,5,1,6,6,1,3,,0,0,5.5,0.35918340086937,3.22222232818604
0,0,0,0,0,1,4,-1,2,6,1,2,,0,0,4.5,0.35918340086937,2.33333325386047
0,0,0,0,0,1,4,1,6,4,3,3,,1,0,2.5,0.35918340086937,2.22222232818604
0,1,0,1,0,0,5,0,6,5,6,3,,0,0,3.5,0.35918340086937,3.77777767181396
1,1,0,0,0,0,6,1,3,4,1,3,910.200012207031,1,0,3,0.35918340086937,2.22222232818604
0,1,0,0,1,0,6,0,5,6,6,3,,0,0,3,0.35918340086937,1.66666662693024
0,1,0,1,0,0,5,-1,6,6,4,3,,0,0,3,0.35918340086937,1.77777779102325
0,1,0,0,1,0,6,1,5,4,6,2,,1,0,2.5,0.35918340086937,2.88888883590698
1,1,0,0,0,0,5,0,5,4,4,2,1093.40002441406,0,0,2.5,0.35918340086937,4
0,0,1,0,0,0,5,1,4,5,6,2,,1,1,3,-1.86411333084106,4.33333349227905
1,1,0,0,0,0,4,1,5,6,5,2,1018.30004882813,1,0,2.5,0.35918340086937,3.55555558204651
0,1,0,0,1,0,6,1,6,3,5,3,,0,0,3,0.35918340086937,3.33333325386047
0,1,0,0,0,0,5,0,4,4,4,2,,1,1,3,0.35918340086937,1.77777779102325
1,1,0,0,0,0,6,1,6,2,4,2,971.700012207031,1,0,2.5,0.35918340086937,3.22222232818604
0,1,0,0,0,0,4,-1,4,4,6,2,,0,1,2,-1.86411333084106,2.88888883590698
1,0,1,0,0,0,1,-1,1,1,2,3,754.299987792969,0,0,5.5,0.35918340086937,2.88888883590698
0,1,0,0,0,0,5,-1,4,2,5,2,,1,1,3,-0.861554503440857,3.11111116409302
0,1,0,0,1,0,6,1,6,4,6,3,,0,0,3.5,0.35918340086937,3.11111116409302
1,0,1,0,0,0,3,1,4,4,4,3,0,1,0,1.5,0.35918340086937,3.66666674613953
0,1,0,0,0,0,4,1,5,5,5,3,,1,1,2,0.35918340086937,1.66666662693024
1,1,0,0,0,0,4,1,2,4,3,2,1034.5,1,0,3,0.35918340086937,3
1,1,0,0,0,0,5,0,6,6,6,2,934,1,0,3.5,-0.861554503440857,3.33333325386047
0,0,0,0,0,1,2,-1,1,2,5,1,,1,0,4.5,0.35918340086937,3.33333325386047
1,1,0,0,0,0,6,0,4,5,5,2,17,1,0,3,0.35918340086937,3.11111116409302
0,0,1,1,0,0,4,-1,1,1,6,2,,1,0,4,0.35918340086937,2.66666674613953
0,0,1,1,0,0,4,-1,5,5,5,2,,1,0,3,0.35918340086937,2.44444441795349
1,1,0,0,0,0,6,1,6,5,5,1,1052,1,0,2.5,0.35918340086937,3.77777767181396
0,0,0,0,0,0,2,0,2,3,1,0,,0,1,2.5,-1.86411333084106,4.77777767181396
1,1,0,0,0,0,3,1,3,3,5,2,460.700012207031,0,0,2.5,0.35918340086937,3.44444441795349
1,1,0,0,0,0,5,1,5,5,6,3,394.599975585938,0,0,3,0.35918340086937,3.77777767181396
0,1,0,1,0,0,6,1,6,3,4,3,,0,0,3.5,0.35918340086937,2.11111116409302
0,0,0,0,0,1,3,0,3,5,1,2,,0,0,4,0.35918340086937,3.77777767181396
0,1,0,0,0,0,6,1,5,5,3,3,,0,1,2.5,-0.861554503440857,3.33333325386047
1,1,0,0,0,0,7,1,5,4,4,2,578.799987792969,0,0,3,0.35918340086937,3.88888883590698
1,0,1,0,0,0,5,1,4,5,6,2,,0,0,1,0.35918340086937,3.22222232818604
1,0,1,0,0,0,4,0,2,2,4,0,932.700012207031,0,0,3.5,0.35918340086937,3.88888883590698
1,0,0,0,0,0,2,-1,1,6,1,3,,0,0,4.5,0.35918340086937,3.55555558204651
1,1,0,0,0,0,4,0,4,3,4,2,1008.29998779297,1,0,2.5,0.35918340086937,3.22222232818604
1,0,0,0,0,0,4,0,3,4,4,1,924.199951171875,1,0,4,0.35918340086937,3.33333325386047
1,0,0,0,0,0,5,1,6,4,6,3,1023,1,0,5,0.35918340086937,3.66666674613953
1,0,0,0,0,0,5,0,4,3,4,2,1021.90002441406,1,0,2.5,-1.86411333084106,3.77777767181396
1,1,0,0,0,0,6,1,2,2,2,2,1030.69995117188,0,0,3,0.35918340086937,3.55555558204651
1,0,0,0,0,0,4,0,3,3,3,1,1024,0,0,3,0.35918340086937,3.33333325386047
1,0,0,0,0,0,4,1,4,6,1,3,1031.30004882813,1,0,3,-0.64337545633316,2.11111116409302
1,0,0,0,0,0,3,0,4,3,6,1,522.599975585938,0,0,4,0.35918340086937,2.88888883590698
0,1,0,0,0,0,6,-1,5,6,5,2,,0,1,2.5,0.35918340086937,3.44444441795349
0,1,0,1,0,0,5,1,4,4,4,2,,0,0,2.5,0.35918340086937,3.66666674613953
0,1,0,0,1,0,5,1,5,4,4,3,,0,0,2.5,-0.861554503440857,4.11111116409302
0,0,0,0,0,1,2,-1,3,1,2,2,,0,0,6.5,0.35918340086937,3.22222232818604
0,1,0,0,1,0,5,1,5,4,4,2,,1,0,2.5,0.35918340086937,3.66666674613953
