"time_watching_hardball","choice","control","lib","con","counteratt","proatt","forcedmod","obamaecon","obamairaq","obamahc","obamaterrorism","obamaimmig","obamaeval"
,0,1,1,0,0,0,0,3,3,4,3,3,3
,0,1,1,0,0,0,0,4,3,3,3,3,4
,0,1,0,0,0,0,0,4,3,2,4,4,4
,0,0,0,0,0,0,1,2,2,2,2,3,2
,0,0,1,0,0,1,0,3,3,3,3,3,3
880,1,0,1,0,0,0,0,2,4,3,4,3,3
295.200012207031,1,0,1,0,0,0,0,4,4,4,4,3,4
873.030029296875,1,0,1,0,0,0,0,3,3,4,3,2,4
,0,0,1,0,0,1,0,4,4,3,4,3,4
,0,0,1,0,0,1,0,4,3,4,3,3,4
21.0900001525879,1,0,0,0,0,0,0,1,2,1,1,1,1
,0,1,0,0,0,0,0,1,3,2,1,1,2
,0,1,0,0,0,0,0,2,1,1,1,1,1
17,1,0,1,0,0,0,0,4,3,4,4,3,4
958.030029296875,1,0,0,0,0,0,0,3,4,3,4,2,2
,0,1,1,0,0,0,0,3,3,3,4,2,3
,0,1,0,1,0,0,0,2,2,2,2,2,1
848.700012207031,1,0,0,1,0,0,0,2,1,1,1,2,1
,0,1,0,0,0,0,0,3,2,2,2,2,2
213.300003051758,1,0,1,0,0,0,0,4,3,3,3,3,4
,1,0,1,0,0,0,0,3,2,3,3,3,3
896.010009765625,1,0,0,0,0,0,0,1,2,1,1,2,2
,0,0,1,0,0,1,0,3,2,3,3,2,2
,0,0,0,0,0,0,1,3,3,3,3,3,3
854.059997558594,1,0,0,1,0,0,0,2,2,,2,2,2
919.099975585938,1,0,0,1,0,0,0,4,4,4,4,3,4
,0,1,0,1,0,0,0,4,3,3,3,3,3
,0,1,0,1,0,0,0,1,1,1,2,2,1
121.800003051758,1,0,0,0,0,0,0,2,2,2,2,2,1
5,1,0,1,0,0,0,0,4,4,3,4,3,4
,0,1,1,0,0,0,0,4,3,4,3,3,4
,0,0,1,0,0,1,0,3,4,3,3,2,3
849.059997558594,1,0,0,0,0,0,0,4,3,1,2,2,2
,0,0,0,1,1,0,0,1,1,1,1,1,1
7.09999990463257,1,0,0,1,0,0,0,2,2,4,2,2,2
,0,0,0,0,0,0,1,2,2,2,2,2,2
,0,1,0,1,0,0,0,4,3,3,4,3,2
,0,0,0,0,0,0,1,1,1,2,1,1,1
931.030029296875,1,0,0,1,0,0,0,3,3,3,2,3,2
881.299987792969,1,0,1,0,0,0,0,3,3,4,4,4,4
,0,1,0,1,0,0,0,2,2,,2,,2
4.05999994277954,1,0,0,1,0,0,0,4,2,4,4,3,4
68.0199966430664,1,0,0,1,0,0,0,2,1,2,2,2,1
,1,0,0,0,0,0,0,2,2,2,1,2,2
10.1899995803833,1,0,0,0,0,0,0,2,2,3,2,2,2
,1,0,0,1,0,0,0,4,2,4,3,3,3
27.0699996948242,0,1,0,0,0,0,0,,,,,,
976,0,1,1,0,0,0,0,3,3,4,3,2,3
,0,1,0,0,0,0,0,3,2,2,2,2,2
378.700012207031,1,0,0,0,0,0,0,2,2,2,3,2,2
,1,0,0,1,0,0,0,1,1,1,1,1,1
,1,0,1,0,0,0,0,3,3,4,3,3,4
,0,0,1,0,0,1,0,4,4,4,3,3,3
,0,0,0,1,1,0,0,1,1,1,2,2,1
131.009994506836,1,0,1,0,0,0,0,3,3,2,3,3,3
,0,1,0,0,0,0,0,2,2,2,2,2,1
358.079986572266,1,0,0,1,0,0,0,1,1,1,1,1,4
,0,1,0,1,0,0,0,2,1,1,1,1,1
253.5,1,0,1,0,0,0,0,2,3,3,2,2,3
,0,1,0,0,0,0,0,2,4,4,4,2,3
,0,0,0,1,1,0,0,2,2,2,2,2,1
,0,0,1,0,0,1,0,3,2,3,4,3,3
,0,0,0,0,0,0,1,1,2,2,2,1,2
,1,0,0,0,0,0,0,2,1,2,1,,2
,0,0,0,1,1,0,0,1,1,1,1,1,1
,0,1,0,1,0,0,0,3,3,3,2,3,2
,0,1,0,1,0,0,0,2,2,2,2,2,1
,0,0,0,1,1,0,0,3,2,3,3,4,3
422.399993896484,1,0,1,0,0,0,0,4,3,4,3,3,4
,0,1,1,0,0,0,0,4,4,4,4,4,4
717.5,1,0,0,1,0,0,0,1,2,1,2,1,1
,0,0,1,0,0,1,0,4,3,4,3,3,4
,0,1,0,0,0,0,0,1,1,1,1,1,1
,0,0,0,0,0,0,1,2,2,2,2,2,2
101.5,1,0,0,0,0,0,0,3,3,3,3,3,3
,0,1,0,0,0,0,0,2,2,2,2,2,2
445.899993896484,1,0,0,1,0,0,0,2,2,2,2,2,2
,0,1,0,1,0,0,0,3,4,4,4,4,4
,0,1,0,1,0,0,0,2,2,2,2,2,2
,0,1,0,1,0,0,0,1,1,1,1,1,1
,0,0,0,1,1,0,0,1,2,2,1,1,1
,0,0,0,1,1,0,0,4,4,4,4,4,4
,0,1,0,0,0,0,0,2,2,2,2,2,2
225,1,0,0,0,0,0,0,2,2,2,3,2,2
182,1,0,0,0,0,0,0,3,3,2,3,3,3
,0,0,1,0,0,1,0,4,4,4,4,3,4
,0,0,0,0,0,0,1,2,2,2,2,2,1
,0,0,1,0,0,1,0,3,2,3,3,2,3
,0,1,0,1,0,0,0,1,1,1,1,2,1
,0,1,0,0,0,0,0,1,1,1,1,1,1
848.799987792969,1,0,0,0,0,0,0,2,3,3,2,3,2
,1,0,0,0,0,0,0,1,1,1,1,1,1
,0,1,0,1,0,0,0,1,2,2,1,1,2
926.700012207031,1,0,1,0,0,0,0,4,4,4,4,4,4
,0,1,0,1,0,0,0,2,2,2,2,2,1
,0,1,1,0,0,0,0,3,3,3,4,4,3
18,1,0,1,0,0,0,0,3,3,3,3,3,3
,0,0,0,1,1,0,0,1,1,1,1,1,1
,0,1,0,1,0,0,0,3,3,2,2,3,2
883.799987792969,1,0,1,0,0,0,0,2,2,3,3,2,2
43.7999992370605,1,0,0,0,0,0,0,1,1,1,1,2,4
,0,1,1,0,0,0,0,1,1,2,1,1,1
0,1,0,0,0,0,0,0,3,3,2,2,3,2
,0,1,0,0,0,0,0,4,3,4,2,3,3
27,1,0,0,1,0,0,0,2,2,2,2,2,2
,0,1,1,0,0,0,0,3,3,3,4,3,4
,0,0,1,0,0,1,0,2,3,3,3,2,3
,0,0,1,0,0,1,0,4,4,4,3,3,3
,0,0,1,0,0,1,0,4,4,3,4,4,4
,0,1,0,1,0,0,0,3,2,4,2,3,3
12.1999998092651,1,0,0,0,0,0,0,2,1,2,1,1,1
,0,1,0,0,0,0,0,1,1,1,1,2,1
,0,0,1,0,0,1,0,3,2,2,3,2,3
853,1,0,1,0,0,0,0,2,2,4,3,4,4
,0,1,0,1,0,0,0,2,2,3,3,2,2
,0,0,0,1,1,0,0,3,2,3,3,2,3
,0,1,1,0,0,0,0,3,3,3,4,3,3
,0,0,0,0,0,0,1,2,3,2,,,2
,0,1,0,1,0,0,0,4,2,3,2,2,3
887.700012207031,1,0,1,0,0,0,0,1,3,2,3,3,3
,0,0,1,0,0,1,0,3,3,4,4,4,4
,1,0,0,0,0,0,0,2,2,2,2,2,2
27.2299995422363,1,0,0,0,0,0,0,2,2,2,1,2,1
,0,1,0,1,0,0,0,2,3,3,3,2,2
,0,0,1,0,0,1,0,3,4,3,4,2,4
,0,1,0,0,0,0,0,2,2,2,2,2,2
,0,1,0,1,0,0,0,3,2,2,2,3,2
,0,0,0,1,1,0,0,2,2,2,2,2,2
,0,1,1,0,0,0,0,2,3,3,4,2,4
,0,1,0,1,0,0,0,2,2,4,2,2,4
0,1,0,0,1,0,0,0,4,4,2,3,4,3
167.300003051758,1,0,0,0,0,0,0,2,1,4,2,3,2
939,1,0,0,0,0,0,0,2,2,2,2,2,2
,0,0,0,0,0,0,1,1,1,1,2,1,1
433,1,0,0,0,0,0,0,2,2,2,2,3,2
,0,1,0,0,0,0,0,2,2,1,1,2,1
192.100006103516,1,0,0,0,0,0,0,2,3,3,2,3,2
,0,0,0,1,1,0,0,2,2,2,1,3,1
,0,1,0,0,0,0,0,2,2,2,2,2,1
,0,0,1,0,0,1,0,3,3,3,2,2,3
,0,1,0,1,0,0,0,3,2,2,2,3,2
,0,0,0,1,1,0,0,2,1,2,1,2,1
,1,0,1,0,0,0,0,2,3,3,4,4,4
11.8999996185303,1,0,0,0,0,0,0,2,2,1,2,2,1
189.080001831055,0,1,1,0,0,0,0,3,3,3,3,3,4
189.080001831055,1,0,0,1,0,0,0,2,2,3,2,4,2
73.0199966430664,1,0,1,0,0,0,0,4,4,4,3,4,3
,0,1,1,0,0,0,0,4,4,4,4,4,4
,0,0,1,0,0,1,0,4,4,3,3,3,4
196.100006103516,1,0,1,0,0,0,0,3,3,3,3,3,3
4.1399998664856,1,0,0,0,0,0,0,1,1,1,2,1,1
,0,1,0,0,0,0,0,3,3,3,2,2,2
3,1,0,0,1,0,0,0,2,2,2,3,3,3
,0,0,1,0,0,1,0,3,4,3,3,2,3
3.79999995231628,1,0,1,0,0,0,0,3,4,3,3,3,4
,0,0,0,1,1,0,0,2,2,3,3,3,2
931.200012207031,1,0,1,0,0,0,0,3,4,3,3,3,3
,0,1,1,0,0,0,0,3,4,4,4,4,3
,0,1,0,1,0,0,0,1,1,1,1,1,1
,0,1,0,0,0,0,0,2,2,2,2,2,2
712.090026855469,1,0,0,0,0,0,0,2,2,2,3,3,2
855,1,0,0,0,0,0,0,2,2,2,2,2,2
7.30000019073486,1,0,1,0,0,0,0,,3,3,,,4
,0,0,1,0,0,1,0,3,3,3,3,4,3
,0,0,1,0,0,1,0,3,3,3,2,3,3
,0,0,0,0,0,0,1,2,2,2,2,2,1
,0,1,0,0,0,0,0,1,,1,1,1,1
,0,1,1,0,0,0,0,3,3,3,3,3,3
8.02000045776367,1,0,0,1,0,0,0,2,3,2,3,2,2
,0,1,0,0,0,0,0,2,2,2,2,2,2
776.900024414063,1,0,0,0,0,0,0,2,2,3,3,3,2
,0,1,1,0,0,0,0,3,4,3,4,4,3
,0,0,0,0,0,0,1,2,1,3,2,3,2
,0,0,0,1,1,0,0,3,3,3,2,3,2
,0,1,0,0,0,0,0,2,3,1,2,3,2
,0,1,1,0,0,0,0,1,3,2,3,1,3
,1,0,1,0,0,0,0,3,2,2,3,3,3
,0,0,1,0,0,1,0,2,4,3,3,4,4
,1,0,1,0,0,0,0,2,3,2,3,2,3
,0,1,1,0,0,0,0,1,3,3,3,3,3
,0,0,0,1,1,0,0,3,2,2,2,4,2
0,1,0,1,0,0,0,0,3,3,3,3,3,3
