"name","removed","time","time_edit","time_removed","time_alive","round","state","class","party","lengthofincumbency","leadership","committeechair","pagechar","population","region","locked","block","treatment_pre_order","influence","republican","term","living","treat_final","treatment_post_order"
"Tom Carper","13:14, 7 November 2014","18:45, 6 November 2014",11/6/2014 18:45:44,11/7/2014 13:13:17,66453504,5,"Delaware",1,"Democratic",2001,,"Chair - Homeland Security & Governmental Affairs",218073,897934,"S",0,17,48,1,0,,,1,47
"Tom Coburn","19:07, 6 November 2014","18:41, 6 November 2014",11/6/2014 18:41:21,11/6/2014 19:07:34,1572864,5,"Oklahoma",3,"Republican",2005,,"Ranking - Homeland Security",337029,3751351,"S",0,15,65,1,1,,,4,45
"Tom Harkin","NO","17:20, 7 November 2014",11/7/2014 17:20:08,,,5,"Iowa",2,"Democratic",1985,,"Chair - Health, Education, Labor & Pensions",284160,3046355,"MW",0,6,100,1,0,,,3,88
"Tom Udall","07:02, 7 November 2014","05:27, 7 November 2014",11/7/2014 05:27:59,11/7/2014 07:01:55,5636096,5,"New Mexico",2,"Democratic",2009,,,135487,2059179,"W",0,21,11,0,0,,,3,61
"Al Franken","19:40, 15 July 2014","19:39, 15 July 2014",7/15/2014 19:39:13,7/15/2014 19:39:13,0,1,"Minnesota",2,"Democratic-Farmer-Labor",2009,,,337187,5303925,"MW",0,15,,0,0,,,2,
"Amy Klobuchar","02:47, 14 July 2014","22:03, 13 July 2014",7/13/2014 22:02:00,7/14/2014 02:45:59,17039360,1,"Minnesota",1,"Democratic-Farmer-Labor",2007,,,200691,5303925,"MW",0,21,,0,0,,,4,
"Angus King","20:05, 15 July 2014","20:35, 8 July 2014",7/8/2014 20:34:23,7/15/2014 20:05:26,603062272,1,"Maine",1,"Independent",2013,,,192119,1328361,"NE",0,24,,0,0,,,1,
"Barbara Boxer","22:16, 10 July 2014","21:22, 10 July 2014",7/10/2014 21:21:40,7/10/2014 22:16:17,3276800,1,"California",3,"Democratic",1993,,"Chair - Environment & Public Works; Ethics",313244,37253956,"W",0,2,,1,0,,,2,
"Barbara Mikulski","NO","20:09, 7 July 2014",7/7/2014 20:08:34,,,1,"Maryland",3,"Democratic",1987,,"Chair - Appropriations",300308,5773552,"S",0,13,,1,0,,,1,
"Ben Cardin","20:11, 15 July 2014","20:08, 15 July 2014",7/15/2014 20:07:37,7/15/2014 20:11:59,262144,1,"Maryland",1,"Democratic",2007,,,199700,5773552,"S",0,19,,0,0,,,3,
"Bernie Sanders","00:04, 12 July 2014","21:15, 11 July 2014",7/11/2014 21:14:43,7/12/2014 00:02:56,10092544,1,"Vermont",1,"Independent (Democratic Socialist)",2007,,"Chair - Veterans' Affairs",250858,625741,"NE",0,5,,1,0,,,3,
"Bill Nelson","19:53, 15 July 2014","19:50, 15 July 2014",7/15/2014 19:50:08,7/15/2014 19:52:19,131072,1,"Florida",1,"Democratic",2001,,,264321,18801310,"S",0,10,,0,0,,,1,
"Bob Casey, Jr.","21:35, 8 July 2014","21:34, 8 July 2014",7/8/2014 21:33:22,7/8/2014 21:35:33,131072,1,"Pennsylvania",1,"Democratic",2007,,,249752,12702379,"NE",0,20,,0,0,,,4,
"Bob Corker","22:24, 11 July 2014","21:12, 11 July 2014",7/11/2014 21:12:32,7/11/2014 22:24:37,4325376,1,"Tennessee",1,"Republican",2007,,"Ranking - Foreign Relations",266068,6346105,"S",0,5,,1,1,,,4,
"Bob Menendez","NO","21:14, 11 July 2014",7/11/2014 21:14:43,,,1,"New Jersey",1,"Democratic",2006,,"Chair - Foreign Relations",367853,8791894,"NE",1,5,,1,0,,,1,
"Brian Schatz","20:07, 15 July 2014","20:03, 15 July 2014",7/15/2014 20:03:15,7/15/2014 20:07:37,262144,1,"Hawaii",3,"Democratic",2012,,,147020,1360301,"W",0,4,,0,0,,,2,
"Carl Levin","20:26, 15 July 2014","19:31, 15 July 2014",7/15/2014 19:30:28,7/15/2014 20:25:05,3276800,1,"Michigan",2,"Democratic",1979,,"Chair - Armed Forces",281477,9883640,"MW",0,25,,1,0,,,3,
"Chris Coons","20:30, 15 July 2014","19:19, 15 July 2014",7/15/2014 19:19:33,7/15/2014 20:29:27,4194304,1,"Delaware",2,"Democratic",2010,,,168931,897934,"S",0,3,,0,0,,,1,
"Chris Murphy","20:48, 8 July 2014","20:37, 8 July 2014",7/8/2014 20:36:34,7/8/2014 20:47:30,655360,1,"Connecticut",1,"Democratic",2013,,,26969,3574097,"NE",0,24,,0,0,,,4,
"Chuck Grassley","20:01, 7 July 2014","20:01, 7 July 2014",7/7/2014 20:02:01,7/7/2014 20:02:01,0,1,"Iowa",3,"Republican",1981,,"Ranking - Judciairy",277833,3046355,"MW",0,13,,1,1,,,4,
"Chuck Schumer","20:09, 15 July 2014","21:35, 9 July 2014",7/9/2014 21:35:10,7/15/2014 20:09:48,513277952,1,"New York",3,"Democratic",1999,"DCC Vice Chair & Policy Committee Chair",,368300,19378102,"NE",0,23,,1,0,,,2,
"Claire McCaskill","19:33, 15 July 2014","19:17, 15 July 2014",7/15/2014 19:17:22,7/15/2014 19:32:40,917504,1,"Missouri",1,"Democratic",2007,,,185508,5988927,"MW",0,3,,0,0,,,4,
"Cory Booker","NO","09:05, 12 July 2014",7/12/2014 09:04:41,,,1,"New Jersey",2,"Democratic",2013,,,352603,8791894,"NE",0,7,,0,0,,,1,
"Dan Coats","09:23, 10 July 2014","21:23, 9 July 2014",7/9/2014 21:22:03,7/10/2014 09:22:57,43253760,1,"Indiana",3,"Republican",2011,,,157820,6483802,"MW",0,14,,0,1,,,3,
"David Vitter","20:24, 15 July 2014","06:25, 14 July 2014",7/14/2014 06:24:26,7/15/2014 20:22:54,136708096,1,"Louisiana",3,"Republican",2005,,"Ranking - Environment and Publics Works",422715,4533372,"S",0,17,,1,1,,,2,
"Dean Heller","20:23, 15 July 2014","19:23, 15 July 2014",7/15/2014 19:23:55,7/15/2014 20:22:54,3538944,1,"Nevada",1,"Republican",2011,,,177221,2700551,"W",0,9,,0,1,,,1,
"Deb Fischer","09:14, 11 July 2014","08:42, 11 July 2014",7/11/2014 08:41:03,7/11/2014 09:13:49,1966080,1,"Nebraska",1,"Republican",2013,,,139467,1826341,"MW",0,1,,0,1,,,2,
"Debbie Stabenow","20:04, 15 July 2014","08:35, 13 July 2014",7/13/2014 08:35:54,7/15/2014 20:03:15,214040576,1,"Michigan",1,"Democratic",2001,,"Chair - Agriculture, Nutrition, & Forestry",290847,9883640,"MW",0,12,,1,0,,,1,
"Dianne Feinstein","22:19, 13 July 2014","22:01, 13 July 2014",7/13/2014 22:02:00,7/13/2014 22:19:28,1048576,1,"California",1,"Democratic",1992,,"Chair - Intelligence",298727,37253956,"W",1,21,,1,0,,,4,
"Dick Durbin","02:52, 14 July 2014","09:13, 12 July 2014",7/12/2014 09:13:26,7/14/2014 02:52:32,149946368,1,"Illinois",2,"Democratic",1997,"Majority Whip",,277111,12830632,"MW",0,11,,1,0,,,4,
"Ed Markey","06:25, 14 July 2014","06:17, 14 July 2014",7/14/2014 06:17:53,7/14/2014 06:24:26,393216,1,"Massachusetts",2,"Democratic",2013,,,258905,6547629,"NE",0,6,,0,0,,,4,
"Elizabeth Warren","21:01, 11 July 2014","21:00, 11 July 2014",7/11/2014 20:59:26,7/11/2014 21:01:37,131072,1,"Massachusetts",1,"Democratic",2013,,,271980,6547629,"NE",1,22,,0,0,,,4,
"Harry Reid","02:48, 14 July 2014","08:42, 13 July 2014",7/13/2014 08:42:27,7/14/2014 02:48:10,65142784,1,"Nevada",3,"Democratic",1987,"Majority Leader",,279208,2700551,"W",0,12,,1,0,,,2,
"Heidi Heitkamp","20:17, 15 July 2014","19:57, 15 July 2014",7/15/2014 19:56:41,7/15/2014 20:16:21,1179648,1,"North Dakota",1,"Democratic",2013,,,160521,672591,"MW",0,19,,0,0,,,3,
"Jack Reed","20:30, 15 July 2014","06:16, 14 July 2014",7/14/2014 06:15:42,7/15/2014 20:29:27,137625600,1,"Rhode Island",2,"Democratic",1997,,,26686,1052567,"NE",0,6,,0,0,,,1,
"Jay Rockefeller","20:10, 15 July 2014","08:43, 10 July 2014",7/10/2014 08:43:38,7/15/2014 20:09:48,473169920,1,"West Virginia",2,"Democratic",1985,,"Chair - Commerce, Science & Transporation",246790,1852994,"S",0,8,,1,0,,,1,
"Jeanne Shaheen","22:03, 10 July 2014","21:20, 10 July 2014",7/10/2014 21:19:29,7/10/2014 22:03:10,2621440,1,"New Hampshire",2,"Democratic",2009,,,189844,1316470,"NE",0,2,,0,0,,,1,
"Jeff Flake","20:28, 15 July 2014","09:07, 12 July 2014",7/12/2014 09:06:53,7/15/2014 20:27:16,300023808,1,"Arizona",1,"Republican",2013,,,191709,6392017,"W",0,11,,0,1,,,1,
"Jeff Merkley","20:27, 15 July 2014","09:16, 12 July 2014",7/12/2014 09:15:37,7/15/2014 20:27:16,299499520,1,"Oregon",2,"Democratic",2009,,,232469,3831074,"W",0,11,,0,0,,,1,
"Jeff Sessions","20:25, 15 July 2014","22:05, 13 July 2014",7/13/2014 22:04:11,7/15/2014 20:25:05,166854656,1,"Alabama",2,"Republican",1997,,"Ranking - Budget",212158,4779736,"S",0,21,,1,1,,,1,
"Jerry Moran","22:25, 11 July 2014","21:10, 11 July 2014",7/11/2014 21:10:21,7/11/2014 22:24:37,4456448,1,"Kansas",3,"Republican",2011,"NRSC Chair",,156071,2853118,"MW",0,5,,1,1,,,2,
"Jim Inhofe","20:12, 15 July 2014","21:03, 11 July 2014",7/11/2014 21:03:48,7/15/2014 20:11:59,342491136,1,"Oklahoma",2,"Republican",1994,,"Ranking - Armed Services",279401,3751351,"S",1,22,,1,1,,,3,
"Jim Risch","20:05, 15 July 2014","06:28, 14 July 2014",7/14/2014 06:28:48,7/15/2014 20:05:26,135397376,1,"Idaho",2,"Republican",2009,,,138548,1567582,"W",0,17,,0,1,,,1,
"Joe Donnelly","20:03, 15 July 2014","19:24, 15 July 2014",7/15/2014 19:23:55,7/15/2014 20:03:15,2359296,1,"Indiana",1,"Democratic",2013,,,323183,6483802,"MW",0,9,,0,0,,,2,
"Joe Manchin","20:26, 15 July 2014","19:42, 15 July 2014",7/15/2014 19:41:24,7/15/2014 20:25:05,2621440,1,"West Virginia",1,"Democratic",2010,,,240087,1852994,"S",0,16,,0,0,,,1,
"John Barrasso","20:33, 15 July 2014","19:29, 15 July 2014",7/15/2014 19:28:17,7/15/2014 20:33:50,3932160,1,"Wyoming",1,"Republican",2007,"Republican Policy Committee Chair",,157457,563626,"W",0,25,,1,1,,,1,
"John Boozman","20:18, 15 July 2014","19:16, 15 July 2014",7/15/2014 19:15:11,7/15/2014 20:18:32,3801088,1,"Arkansas",3,"Republican",2011,,,198243,2915918,"S",0,3,,0,1,,,4,
"John Cornyn","20:03, 15 July 2014","20:02, 15 July 2014",7/15/2014 20:01:04,7/15/2014 20:03:15,131072,1,"Texas",2,"Republican",2003,"Minority Whip",,196963,25145561,"S",0,19,,1,1,,,2,
"John Hoeven","19:59, 15 July 2014","19:58, 15 July 2014",7/15/2014 19:58:52,7/15/2014 19:58:52,0,1,"North Dakota",3,"Republican",2011,,,130790,672591,"MW",0,4,,0,1,,,2,
"John McCain","20:06, 15 July 2014","20:05, 15 July 2014",7/15/2014 20:05:26,7/15/2014 20:05:26,0,1,"Arizona",3,"Republican",1987,,,631299,6392017,"W",1,18,,0,1,,,2,
"John Thune","10:39, 9 July 2014","20:33, 8 July 2014",7/8/2014 20:32:12,7/9/2014 10:39:48,50855936,1,"South Dakota",3,"Republican",2005,"Republican Conference Chair","Ranking - Commerce",200924,814180,"MW",0,24,,1,1,,,3,
"John Walsh","09:19, 9 July 2014","20:30, 8 July 2014",7/8/2014 20:30:01,7/9/2014 09:18:59,46137344,1,"Montana",2,"Democratic",2014,,,34029,989415,"W",0,24,,0,0,,,2,
"Johnny Isakson","20:24, 15 July 2014","21:59, 13 July 2014",7/13/2014 21:59:48,7/15/2014 20:22:54,166985728,1,"Georgia",3,"Republican",2005,,,173732,9687653,"S",0,21,,0,1,,,1,
"Jon Tester","14:00, 10 July 2014","21:20, 9 July 2014",7/9/2014 21:19:52,7/10/2014 14:00:23,60030976,1,"Montana",1,"Democratic",2007,,,164250,989415,"W",0,14,,0,0,,,1,
"Kay Hagan","NO","21:31, 9 July 2014",7/9/2014 21:30:48,,,1,"North Carolina",2,"Democratic",2009,,,209877,9535483,"S",0,23,,0,0,,,3,
"Kelly Ayotte","NO","20:20, 7 July 2014",7/7/2014 20:19:29,,,1,"New Hampshire",3,"Republican",2011,,,196871,1316470,"NE",0,22,,0,1,,,1,
"Kirsten Gillibrand","20:15, 15 July 2014","19:44, 15 July 2014",7/15/2014 19:43:35,7/15/2014 20:14:10,1835008,1,"New York",1,"Democratic",2009,,,274110,19378102,"NE",0,16,,0,0,,,3,
"Lamar Alexander","11:54, 12 July 2014","09:03, 12 July 2014",7/12/2014 09:02:30,7/12/2014 11:52:54,10223616,1,"Tennessee",2,"Republican",2003,,"Ranking - Health, Education, Labor & Pensions",322481,6346105,"S",0,7,,1,1,,,4,
"Lindsey Graham","19:28, 15 July 2014","19:27, 15 July 2014",7/15/2014 19:26:06,7/15/2014 19:28:17,131072,1,"South Carolina",2,"Republican",2003,,,212097,4625364,"S",0,25,,0,1,,,4,
"Lisa Murkowski","08:03, 14 July 2014","6:26, 14 July 2014",7/14/2014 06:26:37,7/14/2014 08:02:44,5767168,1,"Alaska",3,"Republican",2002,,"Ranking - Energy & Natural Resources",272033,710231,"W",0,17,,1,1,,,4,
"Marco Rubio","07:18, 14 July 2014","06:21, 14 July 2014",7/14/2014 06:20:04,7/14/2014 07:19:03,3538944,1,"Florida",3,"Republican",2011,,,263040,18801310,"S",1,6,,0,1,,,3,
"Maria Cantwell","19:48, 15 July 2014","19:45, 15 July 2014",7/15/2014 19:45:46,7/15/2014 19:47:57,131072,1,"Washington",1,"Democratic",2001,,"Chair - Small Business & Entrepreneurship",218204,6724540,"W",0,10,,1,0,,,4,
"Mark Begich","08:08, 14 July 2014","06:18, 14 July 2014",7/14/2014 06:17:53,7/14/2014 08:07:07,6553600,1,"Alaska",2,"Democratic",2009,,,193183,710231,"W",0,6,,0,0,,,2,
"Mark Kirk","19:43, 15 July 2014","19:43, 15 July 2014",7/15/2014 19:43:35,7/15/2014 19:43:35,0,1,"Illinois",3,"Republican",2010,,,218416,12830632,"MW",1,16,,0,1,,,2,
"Mark Pryor","20:19, 15 July 2014","19:58, 15 July 2014",7/15/2014 19:58:52,7/15/2014 20:18:32,1179648,1,"Arkansas",2,"Democratic",2003,,,177736,2915918,"S",0,19,,0,0,,,2,
"Mark Udall","16:33, 12 July 2014","08:48, 11 July 2014",7/11/2014 08:47:36,7/12/2014 16:32:31,114294784,1,"Colorado",2,"Democratic",2009,,,147441,5029196,"W",0,1,,0,0,,,3,
"Mark Warner","05:49, 10 July 2014","21:32, 9 July 2014",7/9/2014 21:32:59,7/10/2014 05:48:52,29753344,1,"Virginia",2,"Democratic",2009,,,246922,8001024,"S",0,23,,0,0,,,4,
"Martin Heinrich","20:19, 15 July 2014","19:55, 15 July 2014",7/15/2014 19:54:30,7/15/2014 20:18:32,1441792,1,"New Mexico",1,"Democratic",2013,,,167735,2059179,"W",0,4,,0,0,,,3,
"Mary Landrieu","21:19, 10 July 2014","21:17, 10 July 2014",7/10/2014 21:17:18,7/10/2014 21:19:29,131072,1,"Louisiana",2,"Democratic",1997,,"Chair - Natural Resources",285584,4533372,"S",0,2,,1,0,,,4,
"Mazie Hirono","19:38, 15 July 2014","19:37, 15 July 2014",7/15/2014 19:37:02,7/15/2014 19:37:02,0,1,"Hawaii",1,"Democratic",2013,,,183788,1360301,"W",0,15,,0,0,,,4,
"Michael Bennet","20:08, 15 July 2014","21:28, 9 July 2014",7/9/2014 21:28:37,7/15/2014 20:07:37,513540096,1,"Colorado",3,"Democratic",2009,"DSCC Chair",,172632,5029196,"W",0,14,,1,0,,,4,
"Mike Crapo","20:16, 15 July 2014","20:10, 15 July 2014",7/15/2014 20:09:48,7/15/2014 20:16:21,393216,1,"Idaho",3,"Republican",1999,,"Ranking - Banking, Housing, & Urban Affairs",166313,1567582,"W",0,4,,1,1,,,3,
"Mike Enzi","20:10, 15 July 2014","21:37, 9 July 2014",7/9/2014 21:37:21,7/15/2014 20:09:48,513146880,1,"Wyoming",2,"Republican",1997,,,160159,563626,"W",0,23,,0,1,,,1,
"Mike Johanns","20:20, 15 July 2014","19:47, 15 July 2014",7/15/2014 19:47:57,7/15/2014 20:20:43,1966080,1,"Nebraska",2,"Republican",2009,,,231398,1826341,"MW",0,10,,0,1,,,1,
"Mike Lee","20:07, 15 July 2014","21:17, 9 July 2014",7/9/2014 21:17:41,7/15/2014 20:07:37,514195456,1,"Utah",3,"Republican",2011,,,31298,2763885,"W",0,14,,0,1,,,2,
"Mitch McConnell","20:04, 15 July 2014","20:04, 15 July 2014",7/15/2014 20:03:15,7/15/2014 20:03:15,0,1,"Kentucky",2,"Republican",1985,"Minority Leader",,282892,4339367,"S",0,18,,1,1,,,2,
"Orrin Hatch","19:37, 15 July 2014","19:26, 15 July 2014",7/15/2014 19:26:06,7/15/2014 19:37:02,655360,1,"Utah",1,"Republican",1977,,"Ranking - Finance",279203,2763885,"W",0,25,,1,1,,,2,
"Pat Roberts","19:49, 15 July 2014","19:48, 15 July 2014",7/15/2014 19:47:57,7/15/2014 19:47:57,0,1,"Kansas",2,"Republican",1997,,,154240,2853118,"MW",0,10,,0,1,,,4,
"Pat Toomey","20:17, 15 July 2014","20:01, 15 July 2014",7/15/2014 20:01:04,7/15/2014 20:16:21,917504,1,"Pennsylvania",3,"Republican",2011,,,224815,12702379,"NE",0,18,,0,1,,,3,
"Patrick Leahy","20:31, 15 July 2014","19:21, 15 July 2014",7/15/2014 19:21:44,7/15/2014 20:31:39,4194304,1,"Vermont",3,"Democratic",1975,"President Pro Tempore","Chair - Judiciary",218555,625741,"NE",0,9,,1,0,,,3,
"Patty Murray","20:30, 7 July 2014","19:59, 7 July 2014",7/7/2014 19:59:50,7/7/2014 20:30:25,1835008,1,"Washington",3,"Democratic",1993,"Democratic Conference Secretary","Chair - Budget",199702,6724540,"W",0,13,,1,0,,,2,
"Rand Paul","21:02, 11 July 2014","20:59, 11 July 2014",7/11/2014 20:59:26,7/11/2014 21:01:37,131072,1,"Kentucky",3,"Republican",2011,,,385218,4339367,"S",1,13,,0,1,,,3,
"Richard Blumenthal","21:55, 8 July 2014","21:42, 8 July 2014",7/8/2014 21:42:07,7/8/2014 21:55:13,786432,1,"Connecticut",3,"Democratic",2011,,,302412,3574097,"NE",0,20,,0,0,,,3,
"Richard Burr","09:34, 14 July 2014","06:23, 14 July 2014",7/14/2014 06:22:15,7/14/2014 09:34:29,11534336,1,"North Carolina",3,"Republican",2005,,"Ranking - Veterans' Affairs",213365,9535483,"S",0,17,,1,1,,,3,
"Richard Shelby","09:18, 10 July 2014","08:47, 10 July 2014",7/10/2014 08:48:00,7/10/2014 09:18:35,1835008,1,"Alabama",3,"Republican",1987,,"Ranking - Appropriations",209610,4779736,"S",0,8,,1,1,,,3,
"Rob Portman","20:39, 15 July 2014","20:18, 15 July 2014",7/15/2014 20:18:32,7/15/2014 20:38:12,1179648,1,"Ohio",3,"Republican",2011,,,396029,11536504,"MW",0,18,,0,1,,,3,
"Roger Wicker","20:15, 15 July 2014","08:33, 13 July 2014",7/13/2014 08:33:43,7/15/2014 20:14:10,214827008,1,"Mississippi",1,"Republican",2007,,,138774,2967297,"S",0,12,,0,1,,,3,
"Ron Johnson","10:10, 13 July 2014","08:40, 13 July 2014",7/13/2014 08:40:16,7/13/2014 10:09:50,5373952,1,"Wisconsin",3,"Republican",2011,,,30687,5686986,"MW",0,12,,0,1,,,4,
"Ron Wyden","20:13, 15 July 2014","09:00, 12 July 2014",7/12/2014 09:00:19,7/15/2014 20:11:59,299499520,1,"Oregon",3,"Democratic",1996,,"Chair - Finance",252810,3831074,"W",0,7,,1,0,,,3,
"Roy Blunt","20:01, 15 July 2014","19:36, 15 July 2014",7/15/2014 19:37:02,7/15/2014 20:01:04,1441792,1,"Missouri",3,"Republican",2011,"Republican Conference Vice Chair",,191135,5988927,"MW",0,15,,1,1,,,3,
"Saxby Chambliss","20:34, 15 July 2014","19:33, 15 July 2014",7/15/2014 19:32:40,7/15/2014 20:33:50,3670016,1,"Georgia",2,"Republican",2003,,"Ranking - Intelligence",193829,9687653,"S",0,15,,1,1,,,1,
"Sheldon Whitehouse","NO","09:01, 12 July 2014",7/12/2014 09:00:19,,,1,"Rhode Island",1,"Democratic",2007,,,163700,1052567,"NE",0,7,,0,0,,,2,
"Sherrod Brown","21:38, 8 July 2014","21:37, 8 July 2014",7/8/2014 21:37:44,7/8/2014 21:37:44,0,1,"Ohio",1,"Democratic",2007,,,229033,11536504,"MW",0,20,,0,0,,,2,
"Susan Collins","08:53, 11 July 2014","08:50, 11 July 2014",7/11/2014 08:49:48,7/11/2014 08:51:59,131072,1,"Maine",2,"Republican",1997,,,262550,1328361,"NE",0,1,,0,1,,,4,
"Tammy Baldwin","16:22, 12 July 2014","21:06, 11 July 2014",7/11/2014 21:05:59,7/12/2014 16:21:36,69337088,1,"Wisconsin",1,"Democratic",2013,,,219047,5686986,"MW",1,8,,0,0,,,2,
"Ted Cruz","20:29, 15 July 2014","19:15, 15 July 2014",7/15/2014 19:15:11,7/15/2014 20:29:27,4456448,1,"Texas",1,"Republican",2013,,,352005,25145561,"S",1,3,,0,1,,,1,
"Thad Cochran","19:36, 15 July 2014","19:22, 15 July 2014",7/15/2014 19:21:44,7/15/2014 19:37:02,917504,1,"Mississippi",2,"Republican",1978,,"Ranking - Agriculture, Nutrition, & Forestry",191442,2967297,"S",0,9,,1,1,,,4,
"Tim Johnson","08:52, 10 July 2014","08:44, 10 July 2014",7/10/2014 08:43:38,7/10/2014 08:52:22,524288,1,"South Dakota",2,"Democratic",1997,,"Chair - Banking, Housing, & Urban Affairs",30392,814180,"MW",0,8,,1,0,,,4,
"Tim Kaine","08:56, 16 July 2014","20:28, 7 July 2014",7/7/2014 20:28:14,7/16/2014 08:56:34,736100352,1,"Virginia",1,"Democratic",2013,,,276726,8001024,"S",0,22,,0,0,,,2,
"Tim Scott","20:11, 15 July 2014","21:15, 10 July 2014",7/10/2014 21:15:07,7/15/2014 20:11:59,428212224,1,"South Carolina",3,"Republican",2013,,,212444,4625364,"S",0,2,,0,1,,,3,
